RESPID	PHTYPE	S1	S2	S3	S4	S5	S6	S7	S8	QX1	QX1A	QX2	QX3	QX3A	QX4	Q1	Q1A	Q1X	Q1Y	Q1Z	Q2	Q3	Q4A	Q4B	Q5	Q6	Q7	Q8	QD1	QD1A	QD2	QD3	QD4	QD4A	QD5	QD6	QD7	QD8	FINWGT
412	2	1	1	1	1	1	1	139	2	1		1	2			2					3	1	1	1	4	2	3	3	3	2	3	8	48		2	1	4	1	0.896676274
413	2	2	2	1	1	2	3	49	5	1		2	1										2	2	4	1	2	1	1		4	5	41		2	1	3	2	1.603112595
416	2	1	2	1	1	1	2	121	2	1		4			1								2	2	4	1	1	1	1		4	8	27		2	1	3	1	0.857149305
419	2	2	2	1	1	1	1	99	9	1		1	9	9									1	1	4	1	4	2	3	2	1	7	22		1	1	8	1	0.904667377
420	2	1	1	1	1	1	1	79	1	1		2	1										2	9	3	2	9	1	1		3	7	23		2	9	1	2	0.761611139
424	2	1	2	1	1	1	1	93	8	1		1	9	2		2					1	1	1	1	4	3	5	2	2		1	5	31		2	1	2	2	1.353708401
425	2	2	2	2	1	1	3	37	4	1		2	1										2	2	4	1	1	1	1		4	6	28		2	1	2	1	1.451631834
426	2	2	2	2	1	1	3	115	7	1		1	1										2	2	1	4	1	9	1		4	9	98		2	1	9	1	2.062195168
428	2	1	1	1	1	1	2	65	8	1		0	2					99					1	1	1	2	3	2	2		3	3	46		2	1	2	1	1.737213843
430	2	2	2	2	2	1	1	147	10	1		2	9	9									4	4	1	4	2	3	1		3	3	60		2	1	1	1	1.019267099
431	2	2	2	2	1	1	1	149	6	1		0	2					99					1	1	4	2	3	3	2		5	3	84		2	1	2	1	1.593776854
433	2	2	1	2	1	1	1	61	1	1		4			1								2	2	4	1	1	1	1		5	3	45		2	1	3	2	1.125629713
434	2	1	2	2	1	1	2	49	5	1		1	2			1					1	1	1	1	4	1	3	2	2		4	7	37		2	2	3	1	1.151963452
438	2	1	2	2	1	1	1	125	8	1		2	2			1					1	1	2	1	4	2	2	1	1		4	7	46		2	1	4	2	1.190893149
443	2	2	2	1	2	2	1	99	10	1		0	9										9	9	4	2	3	4	4	3	3	6	19		2	1	8	2	0.987166892
445	2	2	2	1	1	1	1	43	1	1		4			2								2	2	2	4	2	1	1		4	5	46		2	1	2	2	1.125629713
447	2	1	1	1	1	1	1	163	14	1		1	2			1					1	2	1	1	4	1	3	2	2		2	7	47		2	1	4	2	0.999071274
448	2	1	2	1	1	1	3	87	10	1		1	1										2	2	3	2	2	1	1		3	5	44		2	1	4	2	1.603112595
450	2	1	2	1	1	1	1	121	2	1		4			1								1	4	2	2	5	2	3	2	1	8	29		2	1	1	2	0.761611139
451	2	1	1	1	1	1	3	45	7	1		0	1										2	2	4	1	1	1	1		5	8	49		2	1	4	2	1.696060245
457	2	2	2	2	2	2	3	125	14	1		1	2			1					1	1	1	1	4	2	5	2	2		3	6	53		2	1	2	2	1.789967858
458	2	1	1	2	1	1	1	125	14	1		1	1										1	2	4	3	3	1	1		4	7	24		2	1	2	2	0.876176307
464	2	2	2	1	1	1	1	17	5	1		0	1										2	2	1	9	1	1	1		4	3	54		2	9	3	1	0.810924831
465	2	1	2	1	1	1	1	99	9	1		2	9	9									2	2	2	3	2	1	3	1	3	3	43		2	1	2	2	1.294952286
466	2	2	2	1	1	1	3	99	9	1		1	1										2	2	3	9	3	2	2		3	3	58		2	1	1	2	1.617399399
468	2	1	2	2	1	2	2	31	1	1		2	9	9									2	2	3	2	2	1	4	3	4	6	26		2	1	1	2	1.076010099
470	2	2	2	1	2	1	2	163	13	1		1	2			2					4	1	1	1	4	1	4	2	2		1	6	80		2	2	4	2	1.458988343
475	1	1	1	1	1	1	3	99	9	1		0	2					1			8	2	1	1	4	9	2	2	2		1	6	66		2	1	1	2	0.835634916
476	1	1	2	1	1	1	2	81	3	1		3			2								1	1	4	2	2	2	2		2	8	79		2	1	3	2	0.588156494
477	1	1	2	1	1	1	3	163	13	1		1	1										2	2	4	1	1	1	1		5	6	60		2	1	2	2	0.835634916
480	1	1	1	1	1	1	2	65	8	1		1	2			1					1	1	1	1	4	2	3	2	3	2	3	8	71		2	1	9	2	0.588156494
484	1	2	2	2	1	2	1	87	10	1		1	1										2	2	3	1	1	1	1		5	3	88		2	1	1	2	0.510023142
487	1	1	1	1	1	1	1	87	10	1		0	1										2	2	4	1	1	1	1		5	3	73		2	1	3	2	0.510023142
488	1	1	1	1	1	1	3	7	1	1		1	2			1					1	1	1	1	4	1	3	2	2		3	3	78		2	1	2	2	0.726370771
489	1	1	1	1	1	1	2	67	3	1		2	2			1					1	1	1	1	1	3	4	2	2		1	3	71		2	1	9	2	0.762342603
491	1	1	1	1	2	1	1	43	1	1		0	1										2	2	1	1	9	4	9	1	9	4	99	4	2	1	8	2	0.510023142
497	1	1	1	1	1	1	1	159	6	1		2	2			9	99				10	1	1	1	4	2	3	2	2		2	7	76		2	1	2	2	0.539594023
500	1	1	1	2	1	1	2	163	13	1		0	9										1	1	4	2	4	2	9	2	4	5	73		2	2	9	2	1.458988343
503	1	2	2	1	1	1	2	163	13	1		1	2			1					1	1	1	1	4	5	3	2	2		1	7	56		2	2	2	2	0.895544396
505	1	1	1	2	1	1	2	163	13	1		1	2			1					4	3	1	1	3	5	4	3	2		4	2	84		2	2	1	2	0.753791303
508	1	1	2	2	1	1	2	163	13	1		1	9	9									1	1	4	1	4	3	2		3	3	66		2	2	3	2	1.160765296
509	1	2	2	2	1	1	2	163	13	1		1	2			2					1	2	1	1	4	2	3	2	2		1	7	21		2	2	1	2	1.125627067
510	1	1	1	1	1	1	2	163	14	1		1	2			1					1	1	1	1	4	1	4	2	2		1	3	73		2	2	2	2	0.753791303
512	1	1	1	1	1	1	2	163	14	1		1	9	9									9	9	4	1	9	9	2		9	2	89		2	2	1	2	0.753791303
513	1	1	2	1	1	1	2	49	5	1		0	2					5	9		8	1	1	1	4	1	9	1	3	3	5	3	82		2	2	9	1	0.676535093
514	1	1	1	1	1	1	2	163	13	1		1	2			1					1	2	1	1	4	3	3	2	2		3	5	70		2	1	9	2	0.753791303
521	1	1	1	1	1	1	1	79	1	1		2	1										2	2	3	2	2	1	1		4	4	87		2	1	1	2	0.60112825
522	1	2	2	1	2	2	2	163	14	1		1	2			1					1	1	1	1	4	1	4	2	2		3	5	72		2	2	3	1	0.778302718
523	1	1	2	1	1	1	2	125	14	1		1	9	9									9	9	4	1	9	9	3	3	9	3	62		2	2	3	2	1.160765296
525	1	1	1	1	1	1	2	49	5	1		1	2			1					1	1	1	1	4	2	2	2	2		3	5	79		2	2	8	2	0.655228689
531	1	1	1	1	1	1	2	163	13	1		0	2					5	2		8	1	1	1	1	2	4	2	2		3	3	80		2	2	2	1	0.778302718
534	1	2	2	2	2	1	1	99	10	1		4			1								9	9	4	1	3	3	1		4	5	20		2	1	8	2	0.987166892
535	1	2	2	2	1	2	1	141	1	1		2	1										2	2	4	2	2	1	3	1	5	7	22		2	1	2	2	0.761611139
537	1	2	2	2	2	2	3	161	7	1		1	2			2					1	1	1	1	4	3	2	2	4	2	3	3	18		2	1	2	1	2.133642027
539	1	2	2	2	1	1	3	5	6	1		1	2			2					2	1	1	1	4	2	3	2	3	2	1	5	45		2	1	2	2	2.198358763
544	1	1	1	1	1	1	1	97	1	1		1	2			2					3	3	1	1	3	2	2	2	2		2	3	44		2	1	2	2	1.125629713
545	1	2	2	1	2	2	3	163	14	1		2	2			1					3	3	9	1	1	1	2	4	2		3	5	20		2	3	1	2	1.789967858
546	1	2	2	1	1	1	1	163	13	1		1	2			2					1	2	1	1	4	2	3	3	2		1	5	21		2	1	3	2	1.13566123
547	1	1	1	2	1	1	1	9	1	1		1	1										2	2	4	1	1	1	1		5	8	44		2	1	9	2	0.868436871
549	1	1	2	2	1	1	1	61	1	1		3			1								2	2	4	1	2	1	1		4	3	41		2	1	3	2	1.125629713
550	1	1	1	2	1	1	1	37	4	1		1	9	2		9	3				2	1	1	1	4	4	2	3	3	1	3	5	43		2	1	2	2	1.125629713
552	1	1	1	1	1	1	1	51	4	1		0	9										2	2	4	2	2	1	3	3	2	8	44		2	1	2	2	0.868436871
563	2	2	2	2	2	1	1	103	1	1		2	1										2	2	4	2	1	1	1		3	3	24		2	1	2	2	0.987166892
564	2	1	1	1	1	1	1	125	11	1		1	1										2	2	4	5	2	1	3	1	4	8	82		2	1	1	1	0.467399486
567	1	1	1	1	1	1	1	125	11	1		1	9	9									2	2	1	1	2	3	3	1	3	8	48		2	1	4	1	1.031558582
568	2	1	1	1	1	1	1	99	9	1		1	1										9	9	4	3	2	3	3	1	4	7	29		2	1	2	1	0.904667377
571	2	1	2	2	1	1	1	125	8	1		1	1										2	2	4	1	2	1	1		5	7	61		2	1	4	2	0.830922316
574	1	1	1	2	1	1	1	125	8	1		0	1										2	2	4	1	1	1	3	1	3	6	56		2	1	9	2	1.077004995
576	2	1	1	1	1	1	3	121	2	1		1	2			1					1	1	1	1	4	1	3	2	2		3	5	62		2	1	3	2	1.118540343
578	2	2	1	1	1	1	1	55	1	1		0	2					7	1	99	8	1	1	1	4	9	9	2	2		3	7	44		2	1	4	1	0.896676274
581	2	1	1	1	1	1	1	103	1	1		1	2			1					1	1	1	1	4	2	3	2	3	2	3	8	54		2	1	4	1	0.625638267
582	2	2	1	1	1	1	2	21	6	1		1	1										2	2	4	2	1	1	1		4	7	61		2	1	4	2	0.935155028
587	2	1	1	1	1	1	2	49	5	1		1	2			2					1	2	1	1	4	4	3	3	2		2	5	63		2	1	9	1	0.883906576
589	2	1	1	2	1	1	2	103	1	1		1	2			1					4	1	1	1	4	2	3	2	3	3	3	2	64		2	1	2	2	1.110999266
591	1	2	2	1	1	1	1	93	8	1		2	1										2	2	4	1	1	1	1		5	6	99	9	2	1	2	2	1.077004995
592	2	1	1	2	1	1	2	103	1	1		2	1										2	2	4	2	2	1	3	1	4	7	46		2	1	4	1	0.946594595
594	1	1	1	1	1	1	1	157	10	1		1	1										2	2	4	1	1	1	1		5	6	60		2	1	3	2	0.785386035
597	2	1	1	1	1	1	3	21	6	1		1	1										2	2	4	1	2	1	1		4	3	99	4	2	1	9	2	0.996076978
600	2	1	2	1	2	1	2	163	12	1		1	1										2	2	4	1	1	1	1		5	8	69		2	1	1	2	0.493419799
601	1	2	1	1	1	1	2	125	11	1		0	2					1			8	1	1	1	4	1	3	2	2		1	5	52		2	1	1	2	0.984843355
602	2	1	2	2	1	1	1	49	5	1		1	1										2	2	4	1	2	1	1		5	5	67		2	1	2	1	0.526607823
603	2	2	2	2	1	1	1	139	2	1		0	2					2			8	3	1	9	1	2	2	3	4	2	5	4	60		2	4	2	1	0.897446471
606	2	1	1	1	1	1	2	163	13	1		1	2			1					1	1	1	1	2	4	2	2	2		1	3	82		2	2	2	1	0.778302718
608	2	1	1	1	1	1	1	153	1	1		4			4								9	9	1	4	9	1	4	3	5	6	78		2	4	1	1	0.526607823
609	2	2	2	2	1	1	2	125	8	1		9			1								3	1	4	1	2	2	1		3	6	67		2	1	4	2	0.762342603
613	1	1	2	2	1	1	1	157	5	1		2	1										3	1	4	1	4	2	2		5	9	29		2	1	3	2	0.896859377
615	1	2	2	1	2	1	3	31	1	1		1	1										2	2	4	1	2	4	3	1	5	6	21		2	1	1	2	1.405914983
616	2	2	1	1	1	1	1	123	2	1		1	1										2	2	4	2	1	1	1		3	3	99	4	2	9	1	1	0.526607823
617	2	1	1	1	1	1	2	125	14	1		1	2			1					1	1	1	1	4	1	4	2	2		3	5	72		2	9	9	2	0.639549062
620	2	2	2	2	1	1	3	99	9	1		1	1										1	2	4	1	1	1	1		3	3	70		1	3	1	1	0.954864962
626	2	1	1	1	1	1	1	145	4	1		0	1										2	2	4	1	1	1	1		5	3	74		2	1	3	1	0.526607823
627	2	2	2	2	1	2	1	111	4	1		4			1								2	2	4	4	2	1	3	3	3	3	57		2	1	9	1	1.019267099
630	2	2	2	2	1	2	2	25	3	1		1	2			99	2				4	1	1	1	3	4	4	2	3	2	3	3	81		2	1	9	1	0.787132085
634	1	1	1	1	1	1	1	111	4	1		1	2			2					1	3	9	2	4	5	9	1	1		3	7	60		2	1	9	1	0.625638267
638	2	2	2	1	1	1	2	161	12	1		0	9										9	9	4	2	9	9	4	3	3	9	99	9	2	1	9	2	0.58104215
641	1	2	2	2	1	1	2	51	4	1		1	2			2					1	2	1	1	4	1	3	2	2		3	3	54		2	1	2	2	0.856069335
642	2	1	2	2	1	1	2	163	14	1		0	2					99					9	9	4	1	9	9	2		1	5	72		1	1	1	2	0.639549062
643	2	1	2	1	1	1	1	125	9	1		1	9	9									2	9	4	9	2	1	3	3	4	8	78		2	1	4	1	0.467399486
648	2	1	2	1	1	1	1	125	11	1		1	1										2	2	4	1	1	1	1		5	6	62		2	1	4	1	0.932908
649	2	2	2	2	1	1	2	145	5	1		1	2			1					1	1	1	1	4	9	4	2	2		2	5	81		2	2	8	1	0.676535093
653	1	1	1	1	1	1	1	21	6	1		2	1										2	2	4	3	2	1	1		4	8	82		2	1	3	2	0.597166018
656	2	1	1	1	1	1	2	25	3	1		1	2			2					1	3	1	1	4	1	4	2	4	2	4	5	58		1	1	1	1	1.686072596
657	2	1	2	2	1	1	1	125	14	1		0	1										2	2	4	1	1	1	1		3	6	77		2	1	4	1	0.649345829
662	2	1	2	1	1	1	1	125	14	1		0	2					99					3	3	4	3	4	2	2		2	9	70		2	2	9	1	0.60912616
664	2	1	2	1	1	1	2	163	14	1		0	2					99					1	1	4	3	2	3	2		3	5	85		2	2	9	1	0.778302718
667	2	1	1	2	1	1	3	145	5	1		1	9	9									2	2	4	1	2	1	3	3	3	3	82		2	1	9	2	0.856121919
671	2	1	2	1	1	1	2	163	13	1		1	2			2					1	1	1	1	4	1	4	2	2		4	5	63		2	2	3	1	1.19851049
676	2	2	2	2	2	1	1	125	14	1		1	2			99	1				9	9	9	9	3	9	9	9	9	9	9	8	41		2	2	3	1	1.215825234
677	2	2	1	1	1	1	2	163	13	1		1	2			2					3	1	1	1	4	2	3	4	2		1	8	71		2	2	3	1	0.600469914
678	2	1	2	1	1	1	1	125	8	3	1	3			1								1	1	4	9	9	9	9	9	2	8	99	4	2	9	1	1	0.616584368
683	2	1	1	1	1	1	2	163	13	1		1	2			2					1	1	1	9	4	1	4	3	2		4	2	68		2	3	3	2	0.753791303
684	1	1	1	1	1	1	2	125	14	1		1	2			1					1	1	1	1	4	1	3	2	2		3	5	92		2	1	2	2	0.707785761
686	2	1	1	1	1	1	2	161	12	1		1	2			2					1	1	1	1	4	2	3	2	2		1	7	71		2	1	4	2	0.546065234
687	2	1	1	1	1	1	2	163	14	1		0	9										9	9	4	5	9	9	4	3	4	9	88		2	9	9	2	0.684833339
690	2	1	2	2	1	1	2	163	13	1		3			1								2	2	4	2	2	3	1		4	1	88		2	2	9	1	0.778302718
692	2	1	1	1	1	1	1	145	5	1		1	1										2	2	4	1	1	1	1		5	5	78		2	1	2	1	0.620675443
693	2	1	1	1	1	1	2	163	14	1		0	2					1			8	2	1	1	4	2	3	2	2		2	5	77		2	2	3	1	0.778302718
696	2	1	1	1	1	1	2	145	5	1		1	9	9									2	9	4	5	1	1	9	1	3	3	83		2	1	9	1	0.676535093
697	1	2	2	2	2	2	3	49	5	1		2	9	1									1	2	4	2	2	4	4	9	3	3	21		2	1	2	1	1.60651372
698	1	2	2	2	2	2	3	83	1	1		1	1										2	2	4	1	1	1	2		4	5	55		2	1	2	1	1.60651372
699	2	1	1	1	1	1	2	125	14	1		1	2			1					1	1	1	1	4	1	4	2	2		5	2	77		2	2	2	2	0.753791303
701	2	2	2	1	1	1	1	157	10	1		1	1										2	2	4	1	1	1	1		5	3	75		1	1	2	1	0.582794255
702	2	1	1	1	1	1	2	163	13	1		1	1										2	2	4	2	1	1	1		9	9	62		2	2	2	1	1.088868944
703	2	1	1	2	1	1	2	163	14	1		0	9										3	9	4	2	2	2	2		9	6	99	9	2	2	2	1	0.753791303
704	2	1	1	1	1	1	2	163	14	1		0	2					1			8	1	1	1	4	1	4	2	2		3	7	75		2	1	4	2	0.581559063
705	2	1	1	1	1	1	2	163	13	1		0	2					1			8	1	1	1	4	1	4	2	2		3	7	56		2	2	2	2	0.895544396
709	1	2	1	2	1	1	1	97	1	1		4			1								1	1	4	4	4	2	3	2	1	6	76		2	1	2	2	0.564440071
710	2	1	2	1	1	1	2	163	13	1		3			2								1	1	4	2	9	2	2		1	5	72		2	2	2	2	0.753791303
713	2	1	1	1	1	1	2	163	13	1		1	2			1					3	1	1	1	4	2	3	2	2		3	5	57		2	2	2	1	1.19851049
715	2	1	1	1	1	1	2	49	5	1		1	2			1					1	1	1	1	3	1	2	2	2		5	3	70		2	2	2	1	0.676535093
716	2	2	1	2	1	1	1	33	1	1		1	1										2	2	4	1	1	1	1		4	7	60		2	1	4	1	0.625638267
717	2	1	2	1	1	1	2	163	13	1		0	2					1			8	1	1	1	4	2	3	2	2		3	5	74		2	2	2	2	0.753791303
718	2	1	2	2	1	1	2	125	14	1		1	1										2	2	4	1	1	1	1		5	3	58		2	1	4	2	1.19851049
719	2	2	2	2	1	2	2	145	5	1		1	2			1					1	1	1	1	4	1	4	2	2		1	3	61		2	2	1	1	1.493124409
721	2	1	1	1	1	1	2	125	14	1		0	2					2			8	1	1	1	4	2	3	2	3	2	1	8	80		2	1	4	2	0.546065234
723	1	1	2	1	1	1	2	125	14	1		0	2					1			8	1	1	1	4	1	4	2	2		3	6	69		2	2	3	2	0.753791303
725	1	2	2	2	2	2	3	99	10	1		1	1										2	2	4	1	1	1	3	1	3	3	96		2	1	2	1	1.60651372
731	2	1	2	1	1	1	2	99	9	1		0	2					1			8	1	1	1	4	1	4	2	2		1	5	71		2	2	1	2	0.753791303
732	2	1	1	1	1	1	3	125	11	1		0	2					98					1	1	4	4	9	2	2		3	8	74		2	2	4	1	0.784574094
737	2	2	2	2	2	1	2	125	11	1		1	1										2	2	1	2	9	1	1		5	8	51		1	5	4	1	1.09129622
743	2	2	2	1	1	1	1	163	13	1		1	2			99	99				10	2	1	1	4	2	2	2	2		3	5	70		2	2	1	2	0.69155282
744	1	1	1	1	1	1	2	125	14	1		0	2					99					9	9	4	5	9	2	3	2	3	7	67		2	2	2	2	0.581559063
745	2	1	2	1	1	1	2	49	5	1		1	9	2		99	99				10	1	1	1	4	1	4	2	4	2	3	6	85		2	9	2	1	0.676535093
749	1	2	2	1	1	1	1	147	10	1		1	9	9									9	9	4	1	1	9	9	9	9	5	48		2	1	9	1	1.162232385
751	1	2	2	2	1	2	1	105	2	1		1	9	9									9	9	4	5	1	1	9	9	9	3	99	2	2	1	9	1	1.125629713
752	1	1	2	2	1	1	1	49	5	1		1	2			1					1	1	1	1	4	1	4	2	2		2	8	55		2	2	4	2	0.605934779
764	1	1	2	1	1	1	3	145	4	1		1	2			2					1	3	2	2	4	9	9	1	3	3	9	7	52		2	1	2	1	0.891028884
766	1	2	2	2	1	2	1	161	12	1		3			2								2	2	1	3	1	3	4	1	3	6	27		2	1	1	1	1.172590102
767	2	1	2	2	1	1	2	125	14	1		1	2			99	1				9	1	1	1	4	3	2	2	2		2	8	50		2	2	4	2	0.895544396
769	1	2	2	1	1	2	1	1	1	1		0	9										2	2	4	1	1	9	4	1	5	3	99	3	2	1	9	1	0.810924831
784	1	1	2	1	1	1	2	23	7	1		2	2			2					1	1	1	1	4	1	4	2	2		3	3	31		2	1	1	2	1.475539671
785	1	1	2	2	1	1	1	99	9	1		4			1								2	2	4	1	1	1	1		5	8	58		2	1	3	1	0.71974975
786	2	1	2	2	1	1	2	163	14	1		1	2			1					3	1	1	1	4	2	3	2	2		3	3	43		2	2	2	2	1.663630174
790	2	2	2	2	1	1	3	125	11	1		2	9	2		2					1	2	1	1	4	1	2	2	4	2	3	6	25		2	2	4	2	1.906314423
791	2	1	1	1	1	1	2	163	14	2	9				1								1	1	3	4	3	4	1		2	1	25		2	3	4	1	1.458988343
792	1	1	1	2	1	1	3	65	8	1		1	2			2					1	3	1	1	4	2	3	2	2		1	7	22		2	2	1	2	1.487429216
793	1	1	1	2	1	1	1	33	1	1		2	1										2	2	4	2	2	1	1		5	3	33		2	1	4	2	0.987166892
797	2	1	1	1	1	1	2	125	14	1		1	2			1					1	1	1	1	1	1	4	2	2		3	7	55		2	2	2	2	0.895544396
798	1	2	1	1	1	1	1	145	4	1		4			1								2	2	4	1	2	1	1		5	7	99	2	2	1	3	2	0.605934779
799	1	1	1	1	1	1	1	41	1	1		1	1										2	2	4	2	2	1	1		4	7	42		2	1	1	2	0.868436871
802	1	1	1	1	1	1	1	145	4	1		2	1										2	2	4	1	1	1	1		5	7	22		2	1	2	2	0.761611139
807	1	1	2	1	1	2	1	67	3	1		1	2			2					1	2	1	1	4	2	3	2	3	2	1	5	22		2	1	3	1	1.397727624
810	1	2	1	2	1	1	1	29	1	1		4			1								2	2	4	1	1	1	1		5	6	45		2	1	4	1	0.987166892
814	1	1	2	1	1	1	2	65	8	1		2	9	1									2	2	4	1	1	1	1		5	6	62		2	1	2	1	1.212106856
818	1	1	2	1	1	1	1	145	4	1		1	1										2	2	4	2	2	1	1		5	3	63		1	1	3	2	0.785386035
819	1	1	1	2	1	1	1	115	7	1		1	2			9	99				10	1	1	1	4	1	4	2	2		1	3	24		2	1	2	1	1.397727624
822	2	1	2	1	1	1	3	163	14	1		1	2			99	1				1	2	1	1	4	2	4	2	2		4	5	58		2	2	1	2	1.516656137
823	1	2	2	2	1	1	3	93	8	1		2	2			1					1	2	1	1	4	1	4	2	2		2	7	99	9	9	9	9	1	1.535796706
826	1	1	1	2	1	1	1	103	1	1		4			1								9	9	4	5	2	9	3	1	4	6	56		2	1	9	1	0.810924831
832	1	1	1	1	1	1	1	125	11	1		2	1										2	2	4	2	1	2	3	1	3	7	58		2	1	3	2	0.697082369
837	1	1	2	1	1	1	1	115	7	1		3			1								2	2	4	2	2	1	1		4	6	56		2	1	4	2	1.077004995
841	1	2	2	2	1	2	3	121	2	1		2	1										2	2	4	5	2	4	3	1	4	3	63		2	1	2	2	1.118540343
843	1	2	2	2	1	1	2	163	12	1		2	2			9	99				10	3	4	1	4	3	5	3	3	2	3	5	46		2	1	4	2	1.411495613
849	1	1	2	2	2	1	1	1	1	1		1	2			2					1	3	1	2	2	4	3	4	3	1	3	3	25		2	1	3	1	1.019267099
851	1	1	1	1	1	1	1	73	4	1		0	2					1			8	2	1	1	4	2	3	2	2		3	3	61		2	1	1	1	0.810924831
857	1	2	1	1	1	1	1	163	13	1		1	1										2	2	4	5	2	1	3	1	4	5	61		2	1	3	1	0.932908
862	1	1	2	1	1	1	1	87	10	1		1	1										2	1	4	2	2	3	1		3	5	62		2	1	2	2	0.785386035
863	1	1	1	1	1	1	1	163	11	1		2	2			2					1	3	1	1	1	1	1	1	4	3	3	8	55		2	1	9	1	0.71974975
864	1	1	1	1	1	1	3	147	10	1		1	1										2	2	3	1	1	1	1		5	7	61		2	1	2	1	0.891028884
866	1	1	1	1	1	1	1	129	4	1		1	1										2	2	4	1	1	1	1		4	3	53		2	1	9	1	0.810924831
867	1	1	2	2	1	1	2	153	1	1		1	2			2					1	1	1	1	4	2	3	2	3	2	2	3	57		2	1	2	2	0.856069335
868	1	2	2	1	1	1	2	9	1	1		1	2			2					1	3	1	1	4	1	2	2	3	2	3	8	64		2	1	4	1	0.681944562
869	1	1	1	1	1	1	3	93	8	1		1	2			99	99				10	1	1	1	4	3	2	2	2		3	8	61		2	1	4	2	1.183392741
870	1	2	2	1	2	1	3	161	12	1		1	2			2					1	2	1	1	4	2	3	3	4	2	1	6	25		2	1	4	1	1.669993196
875	1	1	2	2	1	1	1	91	7	1		3			1								1	1	4	5	3	3	3	3	3	7	50		2	1	3	2	0.830922316
877	1	2	2	1	1	1	1	39	1	1		1	1										2	2	1	1	1	1	1		5	7	45		2	1	4	2	0.868436871
881	1	2	2	1	2	1	2	137	1	1		1	2			2					1	3	1	9	4	4	2	4	3	2	3	6	20		2	1	3	1	1.110999266
885	1	2	2	1	1	1	1	99	9	1		1	1										2	2	4	1	1	1	1		5	2	57		2	1	3	2	0.903527536
891	1	1	2	2	1	2	1	109	1	1		2	2			1					3	1	1	1	3	2	3	2	3	2	3	6	52		2	1	3	2	0.785386035
893	1	1	2	1	1	1	1	163	12	1		1	2			1					1	3	1	1	4	5	2	2	3	3	3	7	49		2	1	4	1	1.031558582
894	1	2	1	2	1	1	1	91	7	1		4			1								9	9	1	1	2	3	3	3	3	9	60		9	9	9	1	1.010296651
895	1	1	2	2	1	1	1	49	5	1		1	1										2	2	4	1	2	1	1		5	3	59		2	1	2	2	0.785386035
897	1	2	2	2	2	1	1	35	4	1		2	1										2	2	1	1	1	1	3	1	3	6	55		2	1	3	2	0.785386035
898	2	1	2	1	1	1	2	163	14	1		1	2			1					1	2	1	1	4	1	4	2	2		3	7	61		2	2	3	2	0.895544396
900	1	2	1	2	1	1	1	25	3	1		1	1										2	2	3	1	1	1	1		4	7	60		2	1	4	1	0.857941839
901	1	2	2	1	2	1	3	165	4	1		2	1										2	2	4	2	2	4	4	1	5	3	19		2	1	3	1	1.451631834
903	1	1	2	1	1	1	1	63	10	1		2	1										2	2	4	2	1	1	1		5	7	51		2	1	3	2	0.605934779
905	2	2	2	2	1	1	2	77	6	1		1	2			2					1	3	1	1	1	2	4	9	2		3	3	29		2	2	1	2	1.739114382
907	1	2	2	2	1	1	2	55	1	1		0	2					1			8	1	1	1	1	9	9	2	2		3	3	72		2	1	2	1	0.856069335
909	1	2	2	2	1	1	1	137	1	1		3			1								2	2	4	1	1	1	3	1	3	8	52		2	1	4	2	0.605934779
914	1	2	2	2	1	1	1	113	4	1		1	2			1					1	1	1	1	4	1	4	2	2		1	5	61		2	9	2	2	0.785386035
916	2	1	1	1	2	1	2	145	5	1		1	2			99	1				4	1	1	1	4	2	3	3	3	2	2	8	29		2	2	9	2	0.778446737
919	1	1	2	1	1	1	2	77	6	1		1	9	9									9	9	4	5	9	3	4	3	3	4	27		9	9	1	2	1.475539671
920	2	1	2	1	1	1	2	163	13	1		1	2			2					1	2	1	1	4	1	4	3	3	2	5	3	31		2	2	1	2	1.458988343
921	1	2	2	2	1	1	2	115	7	1		4			1								2	2	4	1	1	1	1		5	3	60		2	1	4	1	1.212106856
925	1	1	2	1	1	1	1	21	6	1		1	1										2	2	4	9	2	1	3	1	3	3	58		2	1	1	2	1.077004995
926	1	1	1	1	1	1	1	103	1	1		1	1										2	2	4	2	1	1	1		5	7	72		2	1	3	1	0.786376835
929	1	1	2	1	1	1	2	161	12	1		0	1										2	2	4	1	1	1	1		5	3	57		2	1	2	2	0.984843355
932	1	1	1	1	1	1	1	103	1	1		1	1										2	2	4	1	1	1	3	1	4	3	60		2	1	4	1	0.810924831
933	1	1	2	1	1	1	1	123	2	1		1	2			1					2	1	1	1	4	2	4	2	2		3	8	63		2	1	4	2	0.605934779
935	1	1	1	1	1	1	3	49	5	1		1	2			1					1	2	1	1	4	1	3	2	2		1	8	63		2	2	4	1	0.891028884
936	1	2	2	2	1	1	1	91	7	1		0	1										2	2	4	1	1	1	1		4	8	54		2	1	9	1	0.857941839
938	1	1	2	1	1	1	1	45	7	1		4			1								2	2	4	1	1	1	1		5	8	63		2	1	4	2	0.830922316
939	1	1	1	1	1	1	1	21	6	1		1	9	1									2	2	4	2	2	4	1		5	5	24		2	1	8	1	1.397727624
941	1	2	2	1	1	2	1	81	3	1		1	2			99	99				10	1	1	1	1	4	9	2	3	3	1	3	61		2	1	9	2	1.077004995
942	1	1	2	2	1	1	1	13	1	1		1	1										2	2	4	1	1	1	1		5	3	60		2	1	1	1	0.810924831
