RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
712	1	1	1	20	1	3	2	1	9	1	1	9	3	1	1	10	18		2	2	2	1	2	1	1	1	2	1		2	3	2	2	2	3	1	3	1	4	3	74		2	2	1	1	2	19	1.272590759
715	1	2	2	28	3	1	9	1	9	1	1	1	9	9	3				2	2	2	2	2	2	2	2				2	5	9	3	1	9	9	2		3	7	81		2	2	1	2	2	4	0.55100862
719	2	1	3	8	2	2	1	1	2	2	1	2	1	1	2				2	2	2	2	2	2	1	1	1	1		2	4	1	3	2	1	1	3	1	4	7	59		1	2	1	4	1	8	0.497088729
729	1	1	1	20	2	2	1	1	1	2	1	2	3	1	3				2	2	2	2	2	2	2	1	1	1		1	4	1	3	2	1	1	1		5	5	80		2	2	1	9	2	32	0.754954596014999
734	1	2	2	20	1	3	2	2	1	1	2	2	3	3	1	1	6		2	2	2	2	2	1	1	1	1	2		4	2	3	1	2	3	2	3	2	3	8	44		1	2	2	4	2	48	0.638794569
741	1	1	1	20	1	2	1	1	1	2	1	1	1	1	2				1	2	2	2	1	2	1	1	1	1		2	3	2	3	2	3	1	1		4	7	99	2	2	2	1	4	2	48	0.47660787948
742	1	2	2	20	1	2	2	2	1	1	2	2	1	1	2				1	2	2	2	2	1	1	2				3	5	3	3	2	9	2	1		4	8	27		2	2	3	3	2	6	1.344360178095
743	1	1	2	20	1	3	1	1	1	1	1	2	1	9	1	10	18		2	1	9	1	1	1	1	1	1	1		1	4	1	1	1	1	1	1		4	3	86		2	2	1	2	2	48	1.165437252285
746	2	2	2	20	1	3	2	2	1	3	2	2	3	1	1	8	18	14	1	2	1	1	2	1	1	1	1	2		4	2	3	9	2	3	2	2		3	8	99	2	1	2	3	4	2	6	0.906111226
749	2	1	1	9	1	1	1	1	9	9	9	1	1	9	2				2	2	2	2	2	2	2	1	1	1		1	4	1	1	2	3	1	1		5	9	82		2	2	1	9	2	6	0.849108575775
759	2	2	2	20	1	2	2	2	1	1	1	1	3	1	1	2	6	14	2	1	2	2	2	2	1	1	1	2		4	1	1	3	2	3	2	2		3	8	71		2	2	1	2	2	41	0.53481167
767	2	1	3	30	3	2	1	1	1	1	2	1	1	1	3				2	2	2	2	2	2	9	2				2	5	2	3	2	3	1	9	9	9	7	72		2	2	1	9	2	16	0.55100862
784	2	1	3	2	4	2	1	1	1	2	2	9	2	2	2				2	2	2	2	2	2	2	1	2	1		1	3	2	3	2	1	1	3	1	3	4	69		2	2	1	2	2	30	1.159639057
797	2	2	2	20	2	3	2	2	1	1	2	2	3	1	2				1	2	2	2	2	1	1	2				4	3	2	1	2	3	2	2		3	2	18		2	2	2	3	2	6	2.694136863
801	2	1	1	28	4	2	3	1	3	2	1	3	1	2	2				2	2	2	2	2	2	2	1	1	1		1	3	9	3	2	3	1	3	1	4	8	67		2	2	1	4	2	32	0.55100862
803	2	1	1	20	4	1	1	1	9	2	2	1	2	2	1	18			2	2	2	2	2	2	1	1	1	1		1	4	1	1	3	1	1	1		5	3	52		2	2	1	3	2	6	1.61652077592
818	2	9	2	3	1	4	1	2	1	1	2	1	3	3	1	2			2	1	2	2	2	2	2	1	5			5	4	4	2	1	3	2	2		1	8	46		1	2	1	4	2	6	0.460296464
821	2	9	1	20	3	3	1	1	1	2	1	2	2	1	2				2	2	2	1	2	1	1	2				2	4	2	3	2	3	9	1		3	1	83		2	2	1	2	2	16	1.165437252285
857	2	1	9	1	3	2	1	1	2	2	1	2	2	2	2				2	1	9	2	2	2	2	1	1	1		1	4	2	1	3	1	1	1		5	4	66		2	2	1	3	2	41	1.13117911479
879	2	2	2	3	4	4	9	2	1	1	9	9	3	1	3				2	2	9	2	2	2	1	1	1	2		4	2	3	2	2	3	2	2		2	5	22		2	2	1	9	1	6	1.061959427
892	2	2	3	20	1	2	1	2	2	1	1	1	3	1	2				1	2	2	2	1	2	1	1	1	2		3	5	2	3	2	2	2	3	3	4	7	44		2	1	1	3	2	35	0.888419279
897	2	2	2	30	4	1	2	2	1	2	2	2	2	1	3				2	2	2	2	2	1	1	1	2	2		5	5	2	3	2	3	2	3	2	3	3	19		2	1	4	3	2	32	3.86041444
914	2	1	1	20	1	2	1	1	1	3	3	3	1	1	2				1	2	9	2	2	2	2	1	1	1		1	4	1	1	3	1	1	3	1	5	3	61		2	2	1	3	2	11	1.154740286
927	2	2	1	30	2	1	1	1	1	1	1	1	2	1	2				2	2	9	1	2	2	1	1	2	2		4	2	2	3	2	2	9	1		5	7	77		2	2	1	3	2	6	0.53748572835
933	2	1	2	20	1	1	1	1	1	1	1	1	1	1	3				1	1	2	1	1	1	2	1	1	2		4	1	4	3	3	1	2	3	2	4	5	72		2	2	1	1	2	6	0.729117049
935	2	2	2	16	1	2	3	2	1	3	1	3	3	1	2				2	2	9	2	2	2	1	1	1	2		4	2	3	3	2	3	2	4	2	1	3	64		2	2	1	3	2	6	1.125551358
936	2	1	2	8	4	1	2	1	2	2	2	3	2	2	2				2	1	2	2	2	2	1	1	2	1		2	4	2	3	2	3	1	1		4	7	35		2	2	1	4	1	41	0.41732963283
938	2	1	1	2	2	2	1	1	1	1	1	2	2	3	2				2	2	2	1	2	1	2	2				1	3	1	1	1	2	2	4	1	3	5	68		2	2	1	3	1	6	0.657768053
948	2	2	2	20	2	2	2	2	1	2	2	2	3	1	1	9			2	2	2	2	2	2	1	1	1	2		4	2	2	1	2	3	2	2		1	8	60		2	2	1	4	2	6	0.53481167
952	2	1	1	8	4	1	9	1	2	2	2	9	1	2	3				2	2	2	2	2	2	2	1	1	1		1	4	1	1	3	3	1	1		5	3	37		1	2	1	3	1	6	1.4583333699
955	2	1	2	20	1	2	1	1	1	3	3	1	1	1	2				1	2	2	2	2	1	1	1	1	1		2	2	3	2	1	3	2	4	1	9	3	34		2	2	1	1	2	6	2.000108685
972	2	1	1	20	2	2	1	1	1	2	1	2	1	1	2				1	2	2	2	2	2	1	1	1	1		2	3	2	3	2	1	1	3	1	3	3	65		2	2	1	4	2	6	1.125551358
991	2	2	2	20	1	3	2	2	1	3	2	2	3	3	2				2	2	2	2	2	2	2	1	1	9	9	5	5	1	3	1	2	2	4	3	3	7	57		2	2	9	9	1	6	0.569996985
993	2	9	2	20	3	3	1	2	1	1	1	9	3	3	2				2	1	2	1	2	1	1	2				5	5	2	2	2	1	2	3	2	4	3	24		1	2	3	8	2	53	3.937290585
996	2	1	1	20	1	2	1	1	1	2	1	2	3	3	1	2			2	1	2	2	2	1	1	1	1	1		1	4	1	1	1	1	1	3	1	5	3	61		2	2	1	3	2	48	1.159639057
1003	2	1	1	20	3	2	1	1	1	1	1	1	1	1	2				2	2	2	2	2	2	2	1	1	1		1	4	1	3	2	3	1	1		3	6	66		2	2	1	3	2	41	0.732762634245
1012	2	2	2	20	2	3	1	2	9	3	9	1	1	1	2				2	1	9	2	2	9	2	1	1	2		4	2	9	1	2	3	2	2		3	5	46		2	2	1	3	1	6	0.85773646
1015	2	9	3	3	2	2	1	1	1	1	1	1	1	1	1	10			1	1	1	2	2	1	1	2				5	5	2	3	1	1	9	4	2	3	2	37		1	2	1	1	2	41	1.608478384
1016	2	1	1	20	1	1	1	1	9	2	9	2	1	9	1	10	14		2	2	2	2	2	1	1	2				1	4	1	1	2	2	1	1		5	6	70		2	2	1	9	2	53	0.732762634245
1023	2	2	2	20	1	4	1	2	3	2	2	2	3	1	1	14	18		2	1	1	2	1	1	2	1	1	2		4	5	4	2	1	2	9	2		2	3	28		1	2	5	2	2	6	3.937290585
1026	2	2	2	20	1	3	1	2	9	2	2	2	3	3	1	4	10		1	2	2	1	1	1	1	1	1	2		4	2	3	2	2	3	2	3	2	3	7	36		2	2	3	3	2	8	0.933553108
1027	2	2	2	2	2	2	1	2	1	1	1	1	3	1	1	10			9	9	9	2	2	1	1	1	1	2		4	1	3	1	2	3	2	2		2	8	82		2	1	4	3	1	6	0.903855939
1028	2	2	2	20	2	3	1	2	1	1	2	2	3	1	1	10			1	2	2	2	2	2	1	1	1	2		3	2	2	2	2	3	2	3	1	4	7	48		2	1	4	4	1	6	0.777921866
1031	2	9	3	20	2	1	1	3	1	2	3	1	1	1	2				2	2	2	2	2	2	2	1	1	8	1	2	2	2	3	2	3	1	2		3	6	29		2	2	1	2	1	6	1.061959427
1035	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	18			2	2	2	2	2	2	1	2				2	5	1	3	2	3	9	9	3	1	8	34		2	2	3	3	2	6	1.337671819
1037	2	9	1	20	1	2	1	1	1	1	2	1	1	1	2				2	2	1	2	2	2	2	1	3	8	9	2	5	2	2	3	3	9	3	2	3	8	99	2	1	2	2	4	1	53	0.559344304
1038	2	2	2	20	1	2	2	2	2	2	2	2	3	3	1	5	11		2	2	2	2	2	1	1	2				4	3	4	3	2	3	2	2		1	5	19		2	1	4	3	1	6	1.989439527
1047	2	1	1	5	1	2	2	2	1	2	2	2	3	3	1	10	1		1	2	2	2	2	1	1	2				2	4	2	2	2	3	1	3	1	3	5	24		2	2	1	4	1	53	1.061959427
1049	2	2	2	20	1	2	1	2	1	1	1	1	1	1	1	2	18		2	1	2	2	2	2	1	1	1	2		4	5	1	1	1	3	2	3	2	3	7	99	3	2	2	2	4	2	6	0.72038877
1053	2	2	2	20	1	2	1	2	1	2	2	3	3	1	2				2	2	2	2	2	1	2	1	1	2		4	1	2	1	2	2	2	2		1	5	73		2	2	1	1	2	41	0.729117049
1057	2	2	2	20	3	1	2	2	1	2	2	1	3	2	1	4	14	5	1	1	2	2	2	1	1	1	1	6	2	3	3	4	3	2	2	2	3	2	2	6	31		1	2	1	4	1	6	1.061959427
1060	2	2	2	20	1	4	2	2	1	1	1	2	3	1	1	10			2	2	2	2	1	1	1	9				4	2	2	2	2	3	2	2		1	5	72		2	2	1	1	2	53	0.729117049
1079	2	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2			1	1	2	2	2	2	1	1	1	1		1	3	1	1	2	1	1	1		5	8	62		2	2	1	4	1	51	0.52027335264
1083	1	1	1	30	3	2	1	1	1	2	1	2	1	1	3				2	2	2	2	2	2	1	1	1	1		2	3	2	3	3	1	1	1		3	7	71		2	2	1	4	1	42	0.497463775155
1085	2	1	1	30	4	2	1	1	1	1	1	1	1	1	1	6			2	1	2	2	2	1	1	2				1	1	3	3	2	3	1	1		4	2	18		2	2	1	8	2	13	2.15679456421501
1086	2	1	1	20	2	9	1	1	1	3	3	9	1	1	1	1	6		2	2	2	2	1	1	1	1	1	1		1	4	1	3	3	1	1	1		9	6	53		1	2	1	4	2	45	1.025258865375
1092	1	1	1	20	3	3	9	1	1	3	2	9	1	1	2				9	9	9	2	2	2	1	1	1	1		2	2	2	3	2	1	1	1		4	8	78		2	2	1	4	1	12	0.52027335264
1095	1	1	1	10	1	1	1	1	1	2	1	2	1	1	1	10	11		2	1	2	2	2	1	1	1	1	1		1	1	3	3	2	1	1	2		5	7	73		2	2	1	4	1	36	0.494988831
1100	2	2	2	20	3	2	1	2	1	1	2	1	3	1	1	6			1	1	1	2	2	1	1	1	1	2		4	2	2	3	3	1	2	2		3	8	37		1	2	2	4	1	34	0.573849782
1106	2	2	2	1	2	2	1	2	1	1	2	1	1	1	2				2	2	2	2	2	2	1	1	2	2		4	3	2	3	3	3	1	4	1	3	7	61		2	2	1	4	1	37	0.517684928
1107	1	1	1	2	3	1	9	1	9	2	2	2	1	3	2				2	2	2	2	2	1	2	1	1	1		1	4	1	3	2	3	1	1		5	5	77		2	2	1	2	2	13	0.786235118504999
1109	1	1	1	20	2	2	1	1	9	1	2	3	1	1	1	2	18		1	1	2	2	1	2	1	1	1	1		2	5	2	3	2	3	1	3	1	4	7	31		2	2	1	3	1	36	0.628926985
1118	2	2	2	13	1	3	2	2	1	1	2	2	1	1	1	2	10		2	1	2	2	1	1	1	1	1	6	2	4	3	3	3	2	3	2	2		2	8	31		2	2	2	3	2	13	0.982111704
1123	2	9	1	1	1	2	3	2	1	1	2	1	3	1	1	18	1	2	1	1	2	2	2	2	2	1	1	8	1	2	1	2	1	1	2	2	2		3	6	57		2	1	9	3	2	36	1.401325655
1145	2	2	2	20	2	4	2	2	1	1	9	1	3	1	1	10	5		2	2	2	2	1	1	1	1	1	2		4	2	2	3	2	3	2	2		1	7	27		2	2	1	1	1	9	0.628926985
1158	1	1	2	13	1	3	1	1	1	3	3	2	3	9	1	2			2	1	2	2	2	2	1	1	1	1		3	4	3	3	1	1	1	4	3	5	8	67		2	9	1	4	1	42	0.494988831
1166	1	1	2	20	1	1	1	1	1	1	1	1	3	2	3				9	2	2	2	2	1	2	2				5	1	2	3	1	1	2	2		9	2	57		2	2	1	8	1	36	1.041741199
1168	2	1	1	9	4	4	1	1	9	2	2	2	1	1	3				2	2	2	2	2	2	2	1	1	1		1	5	1	1	1	1	1	4	1	5	2	25		2	2	1	4	1	48	1.859031019
1172	1	1	1	20	3	2	1	3	3	1	1	3	9	3	2				9	2	9	2	2	1	1	1	2	2		4	1	2	1	1	3	2	2		3	6	80		2	2	1	1	2	12	0.782323501
1185	1	1	1	20	1	1	1	1	1	2	2	1	1	1	2				2	2	2	2	1	1	2	1	1	1		1	4	2	2	2	1	1	3	1	3	3	51		2	2	1	3	1	33	1.488708791
1187	1	2	2	7	3	3	1	2	1	1	1	1	3	1	2				2	2	2	2	2	1	1	1	1	2		4	2	2	3	2	3	2	2		3	7	66		2	2	1	3	2	12	0.573838917
1192	2	1	1	20	2	1	1	1	9	1	3	2	1	1	2				2	2	2	2	2	2	2	1	1	1		1	5	1	3	2	1	9	1		4	5	63		2	2	1	3	1	33	0.678200084775
1198	2	2	2	20	1	2	1	2	1	3	3	2	3	1	1	98			2	2	2	2	2	2	1	1	1	2		4	2	4	2	1	2	9	3	2	2	7	60		2	2	1	4	1	42	0.494988831
1203	1	1	1	28	2	2	3	1	2	2	1	3	1	1	2				1	2	2	2	2	2	1	1	1	1		1	4	1	3	2	1	1	3	1	5	8	99	2	2	2	1	4	1	36	0.426022133
1209	2	1	3	20	2	2	1	1	1	1	1	9	1	1	2				2	2	2	2	2	2	1	2				2	5	2	3	3	1	1	1		3	5	19		2	2	1	4	1	25	1.094946721125
1211	1	1	1	29	4	1	1	1	3	3	1	1	1	1	3				1	2	9	2	9	1	2	1	1	1		1	3	1	3	2	3	1	1		5	7	20		2	2	1	1	1	36	0.632071619925
1221	1	1	1	20	3	1	1	1	1	3	1	1	1	1	2				2	2	2	2	2	1	1	1	1	1		2	3	2	3	2	3	1	1		3	7	62		2	2	1	4	2	45	0.576708111585
1222	1	1	1	20	1	1	1	1	1	1	2	1	1	1	1	2	6		2	1	2	2	1	2	1	1	1	1		1	4	1	3	1	1	1	1		4	4	47		1	2	1	3	2	37	1.73448446193001
1225	2	1	2	15	2	1	1	1	1	1	2	1	1	1	1	10	2		2	2	2	2	2	2	1	1	1	2		3	1	4	2	2	3	2	1		3	8	39		1	2	2	4	2	36	0.639276530250001
1228	2	1	1	20	1	2	1	1	2	2	2	1	1	3	2				2	2	2	2	2	1	1	1	1	1		2	3	3	3	3	3	1	4	9	3	3	53		2	2	1	2	1	51	1.556968673
1229	2	1	1	20	1	2	1	1	2	1	1	9	1	3	1	10	9		2	1	2	2	2	1	1	1	1	1		2	3	1	3	2	3	1	3	1	3	7	75		2	2	1	8	2	51	0.573838917
1231	1	1	3	30	3	2	1	1	1	2	1	9	1	1	1	8			2	9	2	2	2	1	2	2				1	2	1	1	2	1	1	1		3	3	86		2	2	1	4	1	12	1.09495437621
1232	2	2	2	2	3	3	1	3	9	1	2	9	3	3	1	2			1	1	9	1	1	2	1	1	1	2		4	3	4	3	2	3	2	2		1	8	44		2	2	1	3	2	11	0.472233334
1238	1	1	1	20	2	1	1	1	1	1	1	1	1	1	2				2	1	9	2	2	1	1	1	1	1		1	4	1	1	2	1	1	1		4	3	42		1	2	1	2	1	12	1.564753516365
1240	2	2	3	28	1	3	1	2	1	1	2	1	1	1	1	2	9		2	1	2	1	2	1	2	1	1	2		4	2	3	2	2	3	2	2		3	6	20		2	2	5	4	1	42	2.144720972
1241	1	2	2	20	3	2	1	2	1	1	1	1	1	1	2				2	2	2	2	2	2	1	1	1	2		4	1	1	3	2	3	2	2		1	8	86		2	2	1	3	2	36	0.548680943
1251	2	1	1	13	2	3	2	2	2	2	2	2	2	2	1	1			1	2	2	2	2	1	2	2				2	5	2	3	2	3	1	4	1	3	8	30		2	2	1	4	1	42	0.628926985
1253	1	1	1	20	1	2	1	1	1	1	1	1	1	1	1	9			2	2	2	2	2	2	1	1	1	9	9	5	5	9	1	2	3	1	9	9	9	2	83		2	2	1	9	2	25	1.154740286
1263	1	2	2	20	4	4	1	2	1	1	1	2	3	3	3				9	2	9	2	2	2	1	1	1	2		4	5	9	9	2	2	2	3	2	5	7	73		2	1	4	3	2	24	1.02788066
1266	1	2	2	2	2	3	2	2	1	1	3	3	3	1	1	6			2	2	2	1	2	1	1	1	1	2		4	1	1	1	3	3	2	2		3	8	44		1	2	3	4	1	23	0.838640893
1275	2	2	2	20	4	4	2	2	2	2	2	2	3	3	1	18			2	2	2	2	2	2	2	2				4	5	4	3	1	2	2	4	3	9	3	53		2	2	1	1	2	12	1.725855186
1281	2	2	2	20	1	4	2	2	1	1	1	1	3	1	2				2	1	2	2	2	1	2	1	1	2		4	3	2	1	2	3	9	3	2	1	7	34		2	2	1	2	1	36	0.628926985
1285	2	2	2	20	2	3	2	2	1	1	2	2	3	1	1	1	9		1	2	2	2	1	1	1	1	1	2		4	2	2	3	2	3	2	2		3	8	28		2	2	1	3	1	42	0.628926985
1286	1	2	2	20	2	3	3	2	1	3	1	3	3	1	1	1	9		1	2	2	2	2	1	2	2				1	2	2	1	2	3	2	2		1	8	57		2	1	2	3	2	37	1.075010772
1291	2	2	2	20	1	2	1	2	9	1	1	9	3	9	1	5	98		1	2	2	2	2	1	1	1	1	2		4	2	2	1	2	2	2	2		2	7	26		2	2	1	3	1	12	0.657764379
1296	2	2	2	20	2	2	3	1	1	3	2	3	3	1	1	11			2	2	2	2	1	2	1	1	2	2		4	1	1	1	2	3	2	2		2	7	32		1	2	1	4	1	39	0.693114009
1298	1	2	2	20	1	2	1	2	1	1	1	1	1	1	1	9			2	2	2	2	1	1	1	1	1	2		4	1	9	1	1	2	2	2		9	7	62		2	2	2	1	2	25	0.739070615
1300	1	2	2	20	2	2	1	1	1	1	1	1	2	2	2				2	2	2	2	2	2	2	1	1	2		4	2	2	3	2	3	2	2		3	7	56		2	2	2	2	2	51	0.772958285
1301	2	1	2	20	1	1	1	1	1	2	1	2	1	1	1	10			2	1	2	2	2	1	1	1	1	1		1	1	9	1	9	1	1	1		3	6	58		2	1	1	4	2	37	1.472906763345
1302	1	2	2	20	1	4	1	2	1	1	2	2	3	3	1	8			1	2	2	2	1	1	1	1	1	2		4	2	3	1	1	2	2	2		4	3	70		2	2	1	2	2	12	1.207687133
1306	2	2	2	2	2	4	2	2	1	1	1	2	3	1	1	2	5		2	1	2	2	2	1	1	1	1	2		4	2	1	1	1	3	2	2		1	8	30		2	2	1	8	1	9	0.628926985
1311	2	1	1	20	4	2	3	1	1	2	2	3	1	1	2				2	1	2	1	2	1	2	1	1	1		1	4	2	1	2	3	1	3	1	5	7	36		1	2	1	4	1	12	0.445555987
1319	2	2	2	20	2	3	1	2	1	1	2	2	3	1	2				2	2	2	2	2	2	1	1	1	2		4	2	3	1	2	3	2	4	2	4	7	70		2	2	1	4	1	24	0.494988831
1322	1	2	2	2	1	4	1	2	1	9	2	2	1	1	2				2	2	1	2	2	2	1	1	1	2		4	1	1	9	2	3	2	2		3	3	61		2	2	1	2	2	24	1.154740286
1330	1	1	1	20	1	2	1	1	1	1	3	1	1	1	2				2	2	2	2	2	1	2	1	1	1		1	4	1	3	2	1	1	1		5	3	79		2	2	1	2	2	24	1.16051398743
1333	1	1	3	20	2	4	1	1	1	2	3	3	1	3	2				2	2	2	2	1	1	1	1	1	1		1	4	1	3	2	3	1	1		3	4	64		2	2	1	2	2	13	1.213725568665
1336	2	2	2	4	2	3	2	2	2	2	1	1	3	1	1	1	9		1	2	2	2	2	1	1	1	1	2		4	3	3	1	2	2	2	2		2	8	28		2	2	1	4	2	13	0.729112977
1337	1	1	1	20	1	4	2	1	2	3	2	3	1	3	3				2	2	1	2	2	2	2	2				2	4	5	3	1	2	2	4	1	4	3	67		1	2	1	1	2	23	1.154740286
1351	1	2	2	20	3	3	2	2	1	2	1	1	3	1	2				2	2	2	2	2	2	1	1	1	2		4	1	1	1	2	2	2	3	2	2	6	82		2	2	1	3	2	25	0.748025245
1352	1	2	2	20	1	3	9	2	1	1	9	1	3	1	1	1			2	2	2	2	1	1	1	1	1	2		5	1	4	3	2	2	9	3	2	3	4	99	3	2	2	1	3	2	37	1.207687133
1356	2	2	2	20	1	4	1	2	1	1	2	1	3	3	1	4	11		2	1	2	2	2	1	2	2				4	3	4	1	1	2	2	2		1	7	33		2	2	1	3	1	5	0.657764379
1360	2	2	2	20	2	2	1	2	1	1	1	1	3	1	2				1	2	2	2	2	2	1	1	1	2		4	2	3	3	2	2	2	2		1	8	33		2	2	1	2	1	31	0.693114009
1366	1	1	1	13	3	1	1	1	1	2	2	2	1	1	1	8			2	2	2	2	2	2	1	1	1	9	9	1	4	1	3	3	1	1	9	9	9	7	99	9	9	9	9	9	1	12	0.966179839
1372	2	2	2	13	1	2	2	2	1	1	2	1	3	1	2				1	2	2	2	2	2	1	1	1	2		4	1	1	1	2	2	2	2		3	8	33		2	2	1	4	1	36	0.628926985
1376	2	2	2	6	2	2	1	3	1	1	1	3	1	1	1	98			2	1	2	2	2	2	1	1	1	8	2	4	2	2	1	1	3	1	3	3	3	7	25		2	2	1	1	2	25	0.697147552
1380	2	1	1	20	2	4	1	1	1	1	2	9	1	1	2				2	2	1	2	2	1	1	2				2	3	4	3	2	3	1	1		4	5	35		2	2	1	3	1	12	0.924930404804998
1398	2	1	2	20	2	2	1	3	1	1	2	2	1	1	2				2	2	2	1	2	1	1	1	2	2		5	5	2	3	1	2	1	1		2	3	61		2	2	1	1	2	18	1.278953712795
1400	1	1	1	30	2	2	1	1	1	1	1	1	1	9	2				2	2	2	2	2	1	1	1	2	1		2	5	3	2	2	3	1	3	1	2	3	86		2	9	1	1	2	27	1.272590759
1403	2	2	2	16	3	3	3	2	1	2	2	3	3	3	1	2			1	1	2	2	2	1	2	1	1	2		4	4	4	1	1	2	2	2		1	7	24		2	2	3	1	1	27	1.364421485
1406	2	2	2	20	2	1	1	2	1	2	2	1	3	1	3				2	2	2	2	2	1	2	1	1	2		4	2	3	3	2	3	2	4	3	3	5	47		1	2	1	3	1	27	0.969789148
1407	2	2	2	20	2	3	3	3	1	1	1	2	1	1	2				2	2	2	2	1	1	2	1	2	2		4	2	3	2	2	3	9	3	2	3	5	78		2	2	1	3	2	55	0.824367198
1409	2	2	2	20	2	4	1	2	2	2	2	2	3	3	1	1			1	2	2	2	2	1	1	1	1	2		4	2	3	2	2	3	2	3	2	3	8	26		2	2	1	4	1	47	0.657764379
1410	1	2	2	1	2	4	1	2	1	1	1	1	3	9	2				2	2	2	2	2	2	1	1	2	2		1	2	2	3	2	3	1	2		1	7	40		2	2	1	3	1	55	0.469501096
1412	2	2	2	13	2	2	1	1	1	1	1	1	1	1	1	4			2	2	2	2	2	2	1	1	2	2		4	2	3	3	2	1	2	3	2	3	3	64		2	2	1	3	1	19	1.148059212
1428	1	1	1	3	3	2	1	1	1	2	2	1	1	1	2				1	2	2	2	2	1	2	1	1	1		1	4	1	1	2	1	1	1		5	7	62		2	2	1	3	2	31	0.607701609089999
1435	2	1	2	13	4	2	2	1	2	2	2	2	3	2	1	6	2		2	1	2	2	1	2	2	1	1	6	3	2	4	2	2	2	3	1	4	3	3	5	20		2	2	1	4	1	20	1.200691326
1436	2	2	2	2	2	3	1	2	1	1	2	1	3	1	1	2			1	2	2	2	1	1	1	2				3	2	3	2	2	3	1	2		3	7	23		2	2	1	2	2	9	0.697147552
1440	2	2	2	20	2	2	1	2	2	2	1	2	1	3	1	2			2	1	2	2	2	2	2	1	1	2		4	3	1	1	2	3	2	4	2	1	3	23		2	2	1	1	1	40	1.859031019
1444	1	1	1	13	2	2	1	1	3	2	2	3	1	2	1	3			2	2	2	2	2	1	2	1	1	8	3	2	2	2	3	2	3	1	3	3	4	6	44		2	2	1	9	1	47	0.920328761
1445	2	1	1	20	2	3	1	1	3	2	2	1	1	1	1	3			2	2	2	2	2	2	1	1	2	1		1	4	1	1	2	1	1	4	3	5	6	30		1	2	9	2	1	18	1.4184941
1453	1	2	2	2	2	3	2	2	1	1	1	2	3	1	2				2	2	2	2	2	2	1	1	1	2		4	2	2	3	2	3	2	2		3	3	79		2	2	1	1	2	17	1.272590759
1457	2	2	2	20	3	2	3	2	2	1	2	2	3	3	1	10			2	2	2	2	2	1	1	1	1	2		4	2	3	3	2	3	2	3	2	3	8	78		2	2	1	9	2	46	0.604678218
1468	2	1	1	20	1	2	1	1	1	1	1	1	1	1	2				1	1	2	2	1	1	1	1	1	1		1	4	1	1	2	3	1	1		5	5	65		2	2	1	2	2	55	0.828489033990003
1472	1	1	1	13	2	2	1	1	1	2	1	1	1	3	2				2	2	2	2	2	2	2	1	1	1		2	4	1	2	2	1	1	3	1	4	6	72		2	2	1	3	2	17	0.824367198
1473	1	1	1	20	2	2	1	1	1	1	1	1	1	1	2				2	2	2	2	2	1	2	1	1	1		1	3	2	3	2	3	2	1		5	3	58		2	2	1	1	2	22	1.213725568665
1475	2	1	2	20	2	1	1	1	1	2	2	9	1	1	2				2	2	2	2	1	1	1	1	1	1		1	4	2	3	2	3	1	1		5	6	69		2	2	1	2	1	29	0.747415821674999
1476	1	1	2	30	4	1	1	1	1	9	2	1	1	2	3				2	2	2	2	2	2	2	1	1	1		1	4	1	1	3	1	1	1		9	3	76		2	2	1	1	2	48	1.165437252285
1479	2	2	2	20	1	4	1	2	2	1	2	2	3	3	1	2			2	1	2	2	2	1	1	1	1	2		4	1	1	1	1	2	2	2		3	5	61		2	2	1	1	1	40	0.677688778
1492	1	1	2	20	2	3	1	1	1	1	9	2	1	1	1	10	14		2	2	2	2	2	1	2	1	2	1		1	3	9	3	2	3	1	1		5	7	89		2	2	1	3	2	19	0.607701609089999
1494	2	1	1	30	2	2	1	1	1	1	3	1	1	1	1	2	8	6	2	1	2	2	2	1	1	1	1	1		1	2	2	2	2	3	1	1		3	6	21		2	2	1	4	1	28	1.14515192928
1496	1	1	1	30	4	1	1	1	2	2	1	2	1	1	3				2	2	9	2	9	1	2	1	1	1		1	4	1	1	1	1	1	3	1	3	3	56		2	1	1	1	1	17	2.150736006
1500	2	1	1	3	2	2	1	1	1	3	3	1	1	1	2				2	2	2	2	2	1	1	1	1	8	2	2	2	2	3	2	1	1	2		2	6	78		2	2	1	3	2	12	0.782323501
1504	2	1	1	9	4	2	1	1	2	2	2	2	1	1	2				2	2	2	2	2	2	2	2				2	4	4	3	2	3	1	1		4	8	42		1	2	1	4	1	19	0.47184860148
1510	1	1	1	20	3	2	1	1	1	2	1	1	1	2	3				2	2	2	2	2	1	2	1	1	1		1	4	1	3	2	1	1	1		5	3	67		2	2	1	1	2	39	1.278953712795
1513	2	2	2	20	2	3	1	2	1	2	2	2	3	1	2				2	2	2	1	2	1	1	1	1	2		4	1	2	3	3	2	2	3	1	3	8	38		2	2	1	4	1	39	0.469501096
