RESPID	PHTYPE	Q1	Q2	Q3	Q4	Q5	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q7	Q8	Q9	Q9A.1	Q9A.2	Q9A.3	Q10A	Q10B	Q10C	Q10D	Q10E	Q10F	Q10G	QD1	Q11	Q12	Q12B	Q13	Q14	Q15	Q16	Q17	Q18	Q19	QD2	QD2A	QD3	QD4	QD5	QD5A	QD6	QD7	QD8	QD9	QD10	QD11	FINALWGT
193	2	1	1	20	3	1	9	1	1	2	2	1	1	2	2				2	2	2	2	2	2	2	1	1	1		1	4	3	3	2	3	1	1		4	5	67		2	2	1	2	2	45	0.786235118504999
203	2	1	2	1	1	3	1	1	2	1	1	2	3	3	1	2			1	1	2	2	1	1	1	1	1	2		2	1	3	2	2	1	1	3	2	3	6	58		2	2	2	2	2	36	1.007586439
205	1	1	2	1	2	3	2	3	2	1	3	2	3	3	3				2	2	2	2	1	2	2	1	3	1		2	3	1	1	2	3	1	1		3	7	25		2	1	4	4	1	36	1.184101983645
207	2	2	2	20	1	2	1	2	9	2	2	1	3	1	1	3			2	1	2	2	2	1	1	2				3	3	4	2	2	3	2	2		2	7	28		2	2	1	4	1	34	0.628926985
211	2	2	2	1	2	2	1	2	1	1	1	3	3	1	2				2	2	2	2	2	2	2	1	1	2		4	1	2	3	2	3	2	3	2	3	5	57		2	2	1	3	1	51	0.705767896
238	1	1	1	2	1	1	1	1	1	9	1	9	1	9	2				2	2	2	1	2	1	1	2				1	2	9	9	2	3	9	1		9	1	92		2	2	1	8	2	36	1.16051398743
241	2	2	2	3	1	3	1	9	9	9	2	9	3	3	2				2	2	2	2	2	2	1	1	1	8	9	5	5	9	3	2	2	2	9	9	9	4	40		1	2	1	2	1	42	1.488708791
249	2	2	2	4	2	1	1	2	1	3	1	2	1	1	1	10	4		2	2	2	2	2	1	1	1	1	2		4	2	1	3	1	3	2	2		1	7	31		2	2	3	1	1	34	1.238066869
251	2	1	1	20	1	9	1	1	1	2	2	1	1	1	1	8	2		2	1	2	2	2	2	1	1	2	6	1	1	4	1	3	3	1	1	3	1	4	5	48		2	2	1	3	1	51	0.920328761
260	1	2	2	20	2	4	2	2	1	1	2	2	3	1	1	2			2	1	2	1	2	2	1	1	1	2		4	2	3	1	2	3	2	2		1	7	35		1	2	1	2	1	37	0.445555987
271	1	1	1	20	2	1	1	1	1	1	1	1	1	1	2				2	2	2	2	1	1	1	1	1	1		1	4	1	1	3	1	1	1		5	7	57		2	2	1	4	2	12	0.576708111585
274	1	2	2	20	1	3	1	2	2	2	1	2	3	3	1	98			1	1	1	2	1	1	1	1	1	2		3	2	4	2	2	3	2	2		3	7	55		2	2	2	3	1	12	0.69731913
280	2	1	9	20	1	1	1	1	2	1	1	1	1	3	3				2	1	2	2	2	1	2	2				1	3	1	1	2	1	1	3	1	3	5	41		2	2	2	2	1	12	1.239678453
291	2	2	2	20	3	4	2	2	1	3	3	1	3	3	1	10			1	2	1	2	2	2	1	1	1	2		4	2	2	3	2	3	2	2		3	7	33		1	2	1	4	2	11	0.697147552
293	2	2	2	20	4	4	2	2	1	2	2	3	9	9	1	8	18		1	1	1	2	2	1	1	1	1	2		4	2	4	1	1	2	2	4	1	3	8	47		1	2	1	4	1	36	0.426022133
296	2	2	2	20	1	4	2	2	3	2	2	2	3	3	1	10	14		2	1	2	2	1	2	2	1	2	2		4	4	4	2	2	1	2	2		1	7	65		2	2	1	4	1	34	0.494988831
297	2	1	1	28	2	2	1	1	1	2	2	1	1	1	2				2	2	2	2	2	1	1	1	1	1		2	4	3	3	2	3	1	1		3	7	29		1	2	1	3	2	42	0.700633289760002
310	2	2	2	20	1	3	2	2	1	1	2	2	3	1	2				2	2	2	2	2	2	1	1	1	2		4	1	2	1	2	3	2	2		3	3	64		2	2	2	3	2	34	1.55542966
313	1	1	1	9	4	1	1	1	1	2	2	1	1	1	2				2	2	2	2	2	2	1	1	1	1		4	3	2	3	1	2	1	1		4	3	59		2	2	1	4	1	36	1.046949904995
316	2	1	1	28	4	1	2	1	2	2	2	1	2	2	2				2	2	2	2	2	2	2	1	1	1		1	4	2	3	2	1	1	1		5	7	58		2	2	1	4	1	51	0.52027335264
318	1	2	2	20	1	3	1	2	1	1	1	1	1	1	2				2	1	2	2	2	1	1	1	1	2		4	1	1	1	1	3	2	2		3	4	66		2	2	2	3	1	36	1.403220429
319	1	1	1	30	2	1	1	1	1	3	1	3	1	1	3				2	2	2	2	2	2	9	1	1	1		1	5	9	1	2	3	9	1		3	6	70		2	2	1	9	2	36	0.751765371225
320	1	1	1	20	2	2	1	1	3	2	2	3	1	1	2				2	2	2	2	2	1	1	1	1	1		1	3	2	3	1	1	1	3	1	5	7	75		2	2	1	2	1	12	0.517684928
322	2	1	1	20	4	1	1	1	1	2	2	1	1	1	3				9	9	9	9	2	2	2	2				1	4	4	3	2	1	1	1		5	5	50		1	2	1	4	2	54	1.025258865375
326	2	1	2	20	3	2	1	1	1	1	2	1	1	1	1	2	6		2	1	1	2	2	1	1	1	1	8	9	2	1	3	2	1	3	2	4	2	4	6	32		2	2	2	1	2	24	1.626737438
334	1	9	2	20	1	2	2	2	1	1	3	2	3	1	1	10			1	2	2	2	2	1	1	1	1	2		4	1	2	2	1	3	2	2		3	7	64		2	2	1	3	2	36	0.548680943
344	2	2	2	2	1	2	2	2	1	1	3	1	9	1	2				2	2	2	2	2	1	2	1	1	2		4	1	1	3	2	3	2	2		3	7	53		1	2	2	4	1	24	0.573849782
346	1	1	2	20	2	2	9	1	1	2	9	9	2	2	3				2	2	2	2	2	2	2	2				2	5	9	3	2	3	1	1		3	2	77		2	2	1	3	2	37	1.213725568665
350	2	2	2	5	1	2	1	2	1	2	1	1	3	1	1	10	18		2	1	2	2	1	2	1	1	2	2		4	1	2	1	2	2	2	1		5	2	60		2	2	1	4	2	42	1.16051398743
351	2	2	2	20	1	2	2	2	1	1	2	3	3	3	1	1			1	1	2	1	1	1	1	1	1	2		4	1	2	3	2	2	9	2		3	8	55		2	2	1	4	2	36	0.548680943
363	1	2	2	9	1	3	2	2	1	2	2	2	3	3	1	9	98		1	2	2	2	1	1	1	1	1	2		4	4	4	1	2	3	2	2		1	8	65		2	2	1	3	2	12	0.573838917
