"","age_recoded","race_recoded","male","education_recoded","mrp_subgroup_estimate","mrp_subgroup_estimate_se"
"1","1","1","False","1",0.532531087986349,0.0681384676841332
"2","1","1","False","3",0.526867691233227,0.153596062397008
"3","1","1","True","1",0.532531087986349,0.0681384676841332
"4","1","1","True","3",0.526867691233227,0.153596062397008
"5","1","2","False","1",0.08624980006535,0.0370422689022715
"6","1","2","False","3",0.100450799348414,0.0883759167947288
"7","1","2","True","1",0.08624980006535,0.0370422689022715
"8","1","2","True","3",0.100450799348414,0.0883759167947288
"9","1","3","False","1",0.215636363843772,0.0955164403559867
"10","1","3","False","3",0.224428590115362,0.149678219551536
"11","1","3","True","1",0.215636363843772,0.0955164403559867
"12","1","3","True","3",0.224428590115362,0.149678219551536
"13","1","4","False","1",0.442319680978536,0.0856837824479383
"14","1","4","False","3",0.447577744250061,0.160568927292404
"15","1","4","True","1",0.442319680978536,0.0856837824479383
"16","1","4","True","3",0.447577744250061,0.160568927292404
"17","1","9","False","1",0.32531430919605,0.100818106444297
"18","1","9","False","3",0.330399583169602,0.161582306824928
"19","1","9","True","1",0.32531430919605,0.100818106444297
"20","1","9","True","3",0.330399583169602,0.161582306824928
"21","2","1","False","1",0.684437627542842,0.0500914914216436
"22","2","1","False","3",0.668979169648544,0.135028142919154
"23","2","1","True","1",0.684437627542842,0.0500914914216436
"24","2","1","True","3",0.668979169648544,0.135028142919154
"25","2","2","False","1",0.150273135387986,0.0560275897091635
"26","2","2","False","3",0.166395912286398,0.117435607615393
"27","2","2","True","1",0.150273135387986,0.0560275897091635
"28","2","2","True","3",0.166395912286398,0.117435607615393
"29","2","3","False","1",0.334397379169097,0.120509954370344
"30","2","3","False","3",0.336441730453533,0.177445738020481
"31","2","3","True","1",0.334397379169097,0.120509954370344
"32","2","3","True","3",0.336441730453533,0.177445738020481
"33","2","4","False","1",0.599004821479921,0.0778599117171767
"34","2","4","False","3",0.588689381478764,0.153648626476319
"35","2","4","True","1",0.599004821479921,0.0778599117171767
"36","2","4","True","3",0.588689381478764,0.153648626476319
"37","2","9","False","1",0.471529126659414,0.107745573838938
"38","2","9","False","3",0.469573788706442,0.171611020887502
"39","2","9","True","1",0.471529126659414,0.107745573838938
"40","2","9","True","3",0.469573788706442,0.171611020887502
"41","3","1","False","1",0.678822165996689,0.0455131982392503
"42","3","1","False","3",0.660460464760782,0.13575197009164
"43","3","1","True","1",0.678822165996689,0.0455131982392503
"44","3","1","True","3",0.660460464760782,0.13575197009164
"45","3","2","False","1",0.145722820021257,0.0516731045823601
"46","3","2","False","3",0.160979274796386,0.113526059381845
"47","3","2","True","1",0.145722820021257,0.0516731045823601
"48","3","2","True","3",0.160979274796386,0.113526059381845
"49","3","3","False","1",0.329976827079312,0.120194392172737
"50","3","3","False","3",0.329202251858493,0.176398498254083
"51","3","3","True","1",0.329976827079312,0.120194392172737
"52","3","3","True","3",0.329202251858493,0.176398498254083
"53","3","4","False","1",0.591563817543266,0.0762773759177663
"54","3","4","False","3",0.576962346070966,0.155029832350208
"55","3","4","True","1",0.591563817543266,0.0762773759177663
"56","3","4","True","3",0.576962346070966,0.155029832350208
"57","3","9","False","1",0.464886530786736,0.107162657763357
"58","3","9","False","3",0.459006542801643,0.171640173389997
"59","3","9","True","1",0.464886530786736,0.107162657763357
"60","3","9","True","3",0.459006542801643,0.171640173389997
