age_recoded,race_recoded,male,education_recoded,STATEFIP,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,1,1,1,0.7599969764013562,0.03396368889342858
1,1,1,1,2,0.7752470022358708,0.03448106319910549
1,1,1,1,4,0.6775715581420507,0.0350756652091387
1,1,1,1,5,0.7725201982204619,0.04244327099283174
1,1,1,1,6,0.538293972534654,0.03296574652278371
1,1,1,1,8,0.6686209739356959,0.04155645829542628
1,1,1,1,9,0.5438745235480831,0.04066007842198759
1,1,1,1,10,0.6033311861093185,0.048080380320128215
1,1,1,1,11,0.32397806850307137,0.08250983474340415
1,1,1,1,12,0.675971476824006,0.030730557392985577
1,1,1,1,13,0.6946497747961963,0.03604202853306969
1,1,1,1,15,0.5464808963181412,0.04605329240137275
1,1,1,1,16,0.7777846192596373,0.035141055643281974
1,1,1,1,17,0.567718244042315,0.036354532590943914
1,1,1,1,18,0.6874656589555908,0.03355438404773606
1,1,1,1,19,0.6592712979167512,0.03826153365728887
1,1,1,1,20,0.738158604381711,0.03912683088944747
1,1,1,1,21,0.6766363717464119,0.03738979601717935
1,1,1,1,22,0.7003705389114219,0.03492746421677788
1,1,1,1,23,0.6690225716957248,0.04726302742243414
1,1,1,1,24,0.4929748154517309,0.0425855070180685
1,1,1,1,25,0.46829492572383313,0.044005732912207524
1,1,1,1,26,0.671253707241958,0.04022343244967485
1,1,1,1,27,0.5845077916644164,0.044443789853176326
1,1,1,1,28,0.7666519933202145,0.044770441115056764
1,1,1,1,29,0.7374646499052023,0.04357212314112129
1,1,1,1,30,0.7337711291234564,0.040074333705399125
1,1,1,1,31,0.7371998017464723,0.03911603773972575
1,1,1,1,32,0.660830406329442,0.036210142460458845
1,1,1,1,33,0.6509538428545203,0.039986852024565145
1,1,1,1,34,0.5671175802883678,0.038807578812762186
1,1,1,1,35,0.5869346612556798,0.04251592336276674
1,1,1,1,36,0.5267687210082724,0.0343283841120111
1,1,1,1,37,0.6545409793842222,0.03352081778620693
1,1,1,1,38,0.7912488627905286,0.04056694771139411
1,1,1,1,39,0.689354183741893,0.03138642844702722
1,1,1,1,40,0.7234288934126977,0.04174772893695628
1,1,1,1,41,0.5839668732765273,0.04277969476971234
1,1,1,1,42,0.6065580823306359,0.04103842859522957
1,1,1,1,44,0.5584887587178862,0.0539964334537238
1,1,1,1,45,0.7367102785275741,0.0366921309285374
1,1,1,1,46,0.7420114777400223,0.03993921396885588
1,1,1,1,47,0.7364651268782112,0.03408771567746894
1,1,1,1,48,0.6992222424349023,0.027328530614087847
1,1,1,1,49,0.7921756152779975,0.037230638533205566
1,1,1,1,50,0.5163101465733236,0.046523142684582054
1,1,1,1,51,0.6906605268768915,0.038246520432100216
1,1,1,1,53,0.5845748916714876,0.04027267423843758
1,1,1,1,54,0.7043339787908841,0.03712838508302969
1,1,1,1,55,0.6623937851844327,0.035080781130361345
1,1,1,1,56,0.8006030735319511,0.03853982679900477
1,1,1,3,1,0.627821051725126,0.042173136362802566
1,1,1,3,2,0.6476643974736008,0.04402624644395707
1,1,1,3,4,0.5279377651951845,0.037773117924691235
1,1,1,3,5,0.6447235121270094,0.053502006821950124
1,1,1,3,6,0.3825177595705459,0.027985202711811766
1,1,1,3,8,0.5181530523361739,0.04443676721424551
1,1,1,3,9,0.3882086782718672,0.03675054974848461
1,1,1,3,10,0.4478932855606144,0.04785774148265956
1,1,1,3,11,0.20526568197671236,0.061511601656739495
1,1,1,3,12,0.5258954488671742,0.03264370384515469
1,1,1,3,13,0.5477692243404466,0.04098605005748291
1,1,1,3,15,0.3909917799651595,0.04232205441701145
1,1,1,3,16,0.651053963247596,0.04497735794373153
1,1,1,3,17,0.4112177742911038,0.03357523360151564
1,1,1,3,18,0.5392533527901987,0.03701771833888593
1,1,1,3,19,0.5074337627532359,0.03982238405703526
1,1,1,3,20,0.6004990793441254,0.046732318664465033
1,1,1,3,21,0.5270044609537361,0.040613832255987616
