,NAME,Estimate!!Total:,state
1,Pennsylvania,12794885,42
2,California,39346023,06
3,West Virginia,1807426,54
4,Utah,3151239,49
5,New York,19514849,36
6,District of Columbia,701974,11
7,Alaska,736990,02
8,Florida,21216924,12
9,South Carolina,5091517,45
10,North Dakota,760394,38
11,Maine,1340825,23
12,Georgia,10516579,13
13,Alabama,4893186,01
14,New Hampshire,1355244,33
15,Oregon,4176346,41
16,Wyoming,581348,56
17,Arizona,7174064,04
18,Louisiana,4664616,22
19,Indiana,6696893,18
20,Idaho,1754367,16
21,Connecticut,3570549,09
22,Hawaii,1420074,15
23,Illinois,12716164,17
24,Massachusetts,6873003,25
25,Texas,28635442,48
26,Montana,1061705,30
27,Nebraska,1923826,31
28,Ohio,11675275,39
29,Colorado,5684926,08
30,New Jersey,8885418,34
31,Maryland,6037624,24
32,Virginia,8509358,51
33,Vermont,624340,50
34,North Carolina,10386227,37
35,Arkansas,3011873,05
36,Washington,7512465,53
37,Kansas,2912619,20
38,Oklahoma,3949342,40
39,Wisconsin,5806975,55
40,Mississippi,2981835,28
41,Missouri,6124160,29
42,Michigan,9973907,26
43,Rhode Island,1057798,44
44,Minnesota,5600166,27
45,Iowa,3150011,19
46,New Mexico,2097021,35
47,Nevada,3030281,32
48,Delaware,967679,10
49,Puerto Rico,3255642,72
50,Kentucky,4461952,21
51,South Dakota,879336,46
52,Tennessee,6772268,47
