vote_choice_recoded,age_recoded,education_recoded,race_recoded,male,state
0,2,3,1,True,45
0,2,3,4,False,37
0,1,3,3,False,13
0,2,3,4,False,6
1,2,3,2,True,51
0,2,3,1,True,24
0,1,1,1,False,39
1,2,1,1,True,45
1,2,3,4,True,12
1,1,1,1,True,54
0,1,3,4,True,48
1,2,3,9,True,48
0,1,1,1,True,21
1,1,3,1,False,55
1,2,1,1,True,47
0,2,3,2,True,6
1,2,1,4,True,6
0,1,3,4,False,6
0,2,3,4,False,6
0,1,3,1,True,41
1,1,3,1,True,25
0,3,3,1,False,33
0,2,3,2,True,9
0,1,3,1,True,25
0,3,3,1,True,25
1,1,3,1,False,13
0,3,3,2,False,13
1,2,3,1,True,37
0,2,3,2,False,37
0,2,3,1,True,34
0,3,1,2,False,13
1,1,3,1,False,36
0,2,3,1,True,51
1,1,1,1,False,45
1,3,3,1,True,13
1,2,1,1,True,51
0,3,3,2,False,42
0,3,3,1,False,12
0,1,3,1,True,37
0,2,3,3,True,17
0,3,3,1,False,42
1,1,3,1,False,44
0,3,3,1,True,42
0,3,3,1,False,9
0,1,3,1,False,36
1,3,3,1,False,36
1,1,3,1,False,51
0,1,3,1,True,11
0,2,3,1,False,24
0,2,3,1,False,36
0,2,3,2,False,51
0,3,3,1,False,42
1,2,3,1,True,47
0,2,1,1,True,25
1,2,3,4,True,36
1,2,3,1,False,51
0,2,3,4,True,6
0,1,3,1,False,24
1,2,3,1,True,1
1,1,3,1,True,51
0,3,3,1,True,30
0,2,3,2,False,24
1,2,3,4,True,51
1,3,3,1,False,28
0,2,3,1,False,48
1,2,3,1,False,51
0,2,3,3,False,13
1,2,3,4,True,25
1,2,3,1,True,34
0,2,3,3,True,13
1,1,3,1,True,12
0,2,3,1,False,42
1,3,1,2,False,37
1,3,3,1,False,51
0,2,3,1,False,42
1,2,3,4,True,48
1,3,3,1,False,51
1,1,3,1,False,13
0,1,3,4,True,34
1,1,3,1,True,13
0,3,1,1,True,12
0,3,3,1,False,50
0,3,3,1,False,25
0,2,3,1,True,26
0,3,3,1,True,12
0,3,3,1,False,12
0,1,1,4,True,1
0,1,3,1,False,26
1,2,3,2,True,37
1,3,3,1,False,12
1,1,1,1,True,13
0,3,1,2,True,12
1,3,1,1,False,23
0,1,3,1,False,55
1,3,3,1,True,20
0,2,3,1,True,18
0,3,1,1,False,9
1,1,1,9,True,33
0,1,3,1,True,44
0,2,3,1,False,9
1,2,3,1,True,18
1,2,3,1,False,23
0,1,3,1,True,26
1,2,3,1,True,48
0,2,3,4,False,48
1,2,1,1,True,39
1,3,3,9,False,36
1,2,3,1,True,48
1,3,3,4,False,45
0,2,1,1,False,37
0,3,1,1,False,42
1,1,3,1,True,55
0,2,3,1,True,34
0,2,3,1,False,18
0,1,3,1,True,36
0,2,3,2,False,6
0,1,3,2,True,36
0,3,3,1,False,36
0,1,1,1,False,11
1,1,3,1,True,48
1,1,3,4,False,48
1,2,1,1,False,48
1,3,1,1,True,12
0,3,1,2,True,17
0,3,3,1,False,21
0,3,3,2,False,17
1,3,3,1,False,1
0,3,3,2,False,13
1,3,3,1,False,39
0,2,3,1,False,40
