age_recoded,race_recoded,male,education_recoded,STATEFIP,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,False,1,1,0.6653424144323434,0.08047494951427438
1,1,False,1,2,0.7436940121830683,0.0768654874422274
1,1,False,1,4,0.5862699668063298,0.07332730036381138
1,1,False,1,5,0.6312548430291546,0.11562761937266848
1,1,False,1,6,0.3870946666941856,0.07168499867924777
1,1,False,1,8,0.5224998262742772,0.09311085940654942
1,1,False,1,9,0.37836871379455317,0.0732100607451067
1,1,False,1,10,0.5380407890948072,0.09189019098515934
1,1,False,1,11,0.16731366280591198,0.11620710855252361
1,1,False,1,12,0.565284219438069,0.07293017348961424
1,1,False,1,13,0.5577382934253845,0.07355523803360485
1,1,False,1,15,0.4435001667782676,0.08724613076373967
1,1,False,1,16,0.7325343639705251,0.07918800504405235
1,1,False,1,17,0.3962202254012549,0.0748191580237972
1,1,False,1,18,0.5567317161105941,0.07413928246283664
1,1,False,1,19,0.5244654902498534,0.07464872387969922
1,1,False,1,20,0.7037372278944062,0.08319239469532383
1,1,False,1,21,0.5237336389048779,0.08134350320336411
1,1,False,1,22,0.5873915115570204,0.0733955726025129
1,1,False,1,23,0.48164252779729105,0.09766209274300307
1,1,False,1,24,0.29304596236253877,0.07420899485762245
1,1,False,1,25,0.2884922616966245,0.07954284114079095
1,1,False,1,26,0.5408294868717695,0.09236146321553387
1,1,False,1,27,0.43397192828380654,0.0890768437605019
1,1,False,1,28,0.5841567279216904,0.11900416970460026
1,1,False,1,29,0.5707381365913478,0.11631613914390417
1,1,False,1,30,0.5990999310760132,0.09380308729635825
1,1,False,1,31,0.6703586164661128,0.08375600416914109
1,1,False,1,32,0.561570468824947,0.07865123363062859
1,1,False,1,33,0.5225670651727345,0.07738244957462444
1,1,False,1,34,0.4517448310822553,0.07823871895581164
1,1,False,1,35,0.43786912409105533,0.0808531691045632
1,1,False,1,36,0.38458076463761176,0.07334380741614036
1,1,False,1,37,0.5183161266608305,0.07571015266670554
