age_recoded,race_recoded,male,education_recoded,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,False,1,0.5334219750154965,0.06968485960496583
1,1,False,3,0.3689259300784175,0.04912695417114675
1,1,True,1,0.6232752821548939,0.06493770196400035
1,1,True,3,0.45895935595826676,0.05035184044809373
1,2,False,1,0.13609996684332598,0.06274729413214311
1,2,False,3,0.06808273942919321,0.029944729222837165
1,2,True,1,0.18797624436815968,0.07678296823510893
1,2,True,3,0.09831327170594091,0.04167206136608005
1,3,False,1,0.3439688520169149,0.17762206144845188
1,3,False,3,0.2102156445868293,0.08599463273058422
1,3,True,1,0.4093859500224714,0.18195892587863052
1,3,True,3,0.2661093840543796,0.09743568027609538
1,4,False,1,0.3802000799509544,0.1250458484375162
1,4,False,3,0.3176068230824714,0.07388197629874321
1,4,True,1,0.45958392326902825,0.12311068813846758
1,4,True,3,0.39592435564744066,0.07749641557301012
1,9,False,1,0.6347522883431393,0.1621212685554934
1,9,False,3,0.44626622475831607,0.12659397241049766
1,9,True,1,0.6998269341486337,0.14248753618073953
1,9,True,3,0.5210454958003343,0.12556897682878004
2,1,False,1,0.5607102200935249,0.0632724964544724
2,1,False,3,0.4092546370180767,0.03919459538441302
2,1,True,1,0.6490764245733576,0.057834667121961864
2,1,True,3,0.5017550319222035,0.04062689443269109
2,2,False,1,0.1489889958702193,0.06671339381881611
2,2,False,3,0.07905721714331267,0.032280386406085895
2,2,True,1,0.20451949006492043,0.08087404272452882
2,2,True,3,0.11364114989324808,0.04481245598755413
2,3,False,1,0.3659091988723445,0.17897411021158197
2,3,False,3,0.23838884879500677,0.09084254918984772
2,3,True,1,0.4329316700345068,0.18213303980066348
2,3,True,3,0.2990853678244126,0.10203558312541604
2,4,False,1,0.40514966390440343,0.12878606678557622
2,4,False,3,0.3549324737949213,0.07474127009577583
2,4,True,1,0.4857144663296094,0.12567920274585279
2,4,True,3,0.4368002123547066,0.0772709396529376
2,9,False,1,0.6578429792918173,0.1547822719369371
2,9,False,3,0.4864516248744941,0.12300393017116641
2,9,True,1,0.7209909068005427,0.13456346186735238
2,9,True,3,0.5615960989441215,0.11963444142309058
3,1,False,1,0.5489726726016116,0.05612009446368194
3,1,False,3,0.4017733184599421,0.03601069006618038
3,1,True,1,0.6383140764053872,0.05349269096466884
3,1,True,3,0.4940945771976026,0.040499078607036186
3,2,False,1,0.141918767178789,0.060646670813554286
3,2,False,3,0.07686345457834665,0.031472694832536945
3,2,True,1,0.19623056730100766,0.07574169987676231
3,2,True,3,0.11075531131437821,0.04438653523699074
3,3,False,1,0.3560631174288723,0.17671138246009285
3,3,False,3,0.23312385749762776,0.08980717482393007
3,3,True,1,0.42279616957256333,0.1814425303323702
3,3,True,3,0.2929551263198037,0.10075674134300588
3,4,False,1,0.39399354749082494,0.12564412768739544
3,4,False,3,0.3483251919970561,0.07695610112768891
3,4,True,1,0.4742283914412636,0.12422644017359934
3,4,True,3,0.4295447375457845,0.07958975072340703
3,9,False,1,0.6484443098244922,0.15566401092357013
3,9,False,3,0.4791533282102547,0.1224128422147893
3,9,True,1,0.7124154710213846,0.13651946451474561
3,9,True,3,0.55438178108617,0.12016063423985429
