RESPID,PHTYPE,economic_situation,registered_vote,likely_to_vote,approve_trump,approve_biden,trump_stamina,biden_stamina,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,STATEFIP,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity,mrp_subgroup_estimate_se,prop_small,propensity_fix
275,1,9,True,1.0,True,False,True,False,False,9.0,3,1.0,4,9,99,1.0,False,9,2,27,0.966935392550001,27,1,3.0,3,9,False,3,2,0.4179011775235132,0.1224128422147893,0.4791533282102547,0.4179011775235132
298,2,2,True,1.0,False,False,True,False,False,1.0,1,,2,7,63,,False,1,2,1,0.59886952164,1,1,1.0,3,1,False,3,3,0.582295045703169,0.0360106900661803,0.4017733184599421,0.582295045703169
301,2,3,True,1.0,True,False,True,False,True,1.0,1,,3,7,31,,False,1,1,48,0.816024339239998,48,1,1.0,1,1,True,3,3,0.6062984999300651,0.0503518404480937,0.4589593559582667,0.6062984999300651
305,2,2,True,1.0,False,False,False,True,True,2.0,3,1.0,3,7,36,,True,4,2,36,0.735678106650003,36,0,3.0,2,4,False,3,1,0.2400937518277047,0.0747412700957758,0.3549324737949213,0.2400937518277047
328,1,2,True,1.0,True,False,True,False,True,1.0,1,,2,3,61,,False,1,2,39,1.3837018743,39,1,1.0,3,1,False,1,2,0.592772360507136,0.0561200944636819,0.5489726726016116,0.592772360507136
329,1,2,True,1.0,True,False,True,False,True,1.0,1,,4,6,77,,False,2,2,37,1.04062685514,37,1,1.0,3,2,False,3,3,0.091760691372901,0.0314726948325369,0.0768634545783466,0.091760691372901
334,2,2,True,1.0,False,False,True,True,False,1.0,2,,3,8,74,,False,1,1,26,0.56123550548,26,0,2.0,3,1,True,3,2,0.5260819459462243,0.0404990786070361,0.4940945771976026,0.5260819459462243
345,2,2,True,1.0,False,False,True,False,True,3.0,1,,2,3,46,,False,1,1,12,1.11950649372,12,1,1.0,2,1,True,1,3,0.6588874708386192,0.0578346671219618,0.6490764245733576,0.6588874708386192
350,2,1,True,1.0,False,False,False,True,True,1.0,2,,3,5,19,,True,1,1,51,2.04599528486,51,0,2.0,1,4,True,3,3,0.4438696955205259,0.0774964155730101,0.3959243556474406,0.4438696955205259
355,1,2,True,1.0,True,False,True,False,True,1.0,3,1.0,3,8,74,,False,1,2,12,0.5577706329,12,1,3.0,3,1,False,3,3,0.4550999808665094,0.0360106900661803,0.4017733184599421,0.4550999808665094
364,2,3,True,1.0,True,False,True,False,False,1.0,1,,4,3,99,3.0,False,9,1,18,1.3747396443,18,1,1.0,3,9,True,1,2,0.7246855541764723,0.1365194645147456,0.7124154710213846,0.7246855541764723
367,2,2,True,1.0,False,True,False,True,False,1.0,2,,1,8,44,,False,1,1,37,0.52022340588,37,0,2.0,2,1,True,3,3,0.5236085585052256,0.040626894432691,0.5017550319222035,0.5236085585052256
368,2,1,True,1.0,False,False,False,True,False,3.0,3,3.0,2,5,60,,False,2,2,13,0.969211286650003,13,0,3.0,3,2,False,3,3,0.0991145743786758,0.0314726948325369,0.0768634545783466,0.0991145743786758
373,1,2,True,1.0,False,False,False,True,True,1.0,3,3.0,3,5,42,,False,1,1,1,0.728957846550001,1,0,3.0,2,1,True,3,3,0.662833898417016,0.040626894432691,0.5017550319222035,0.662833898417016
374,2,1,True,1.0,False,True,False,True,True,1.0,9,3.0,3,7,72,,False,9,2,45,0.649008688,45,0,3.0,3,9,False,3,3,0.6186077278778045,0.1224128422147893,0.4791533282102547,0.6186077278778045
381,1,2,True,1.0,True,False,True,False,True,1.0,1,,3,3,60,,False,1,1,24,1.29826662738,24,1,1.0,3,1,True,1,3,0.4359547103602891,0.0534926909646688,0.6383140764053872,0.4359547103602891
392,2,3,True,2.0,False,False,False,True,True,3.0,2,,1,7,31,,False,1,1,17,0.70199176598,17,0,2.0,1,1,True,3,2,0.3773556127477209,0.0503518404480937,0.4589593559582667,0.3773556127477209
395,1,2,True,1.0,False,True,False,True,True,1.0,2,,3,3,73,,False,1,2,55,1.4379646929,55,0,2.0,3,1,False,1,2,0.5578274783159369,0.0561200944636819,0.5489726726016116,0.5578274783159369
404,1,2,True,1.0,False,False,False,True,True,2.0,2,,1,3,88,,False,1,2,42,1.50110174956,42,0,2.0,3,1,False,1,1,0.4585944093585182,0.0561200944636819,0.5489726726016116,0.4585944093585182
424,2,3,True,2.0,False,False,True,True,False,2.0,2,,1,7,24,,False,1,2,21,0.778439355,21,0,2.0,1,1,False,3,3,0.4325397178974197,0.0491269541711467,0.3689259300784175,0.4325397178974197
426,2,2,True,1.0,False,True,False,True,True,1.0,3,1.0,3,7,51,,False,1,1,42,0.4883343957,42,0,3.0,2,1,True,3,1,0.4223256932793138,0.040626894432691,0.5017550319222035,0.4223256932793138
428,2,9,True,2.0,False,True,False,True,True,1.0,3,3.0,2,7,99,1.0,False,1,1,28,0.627049722049998,28,0,3.0,3,1,True,3,3,0.5826746375276097,0.0404990786070361,0.4940945771976026,0.5826746375276097
