age_recoded,race_recoded,male,education_recoded,mrp_subgroup_estimate,mrp_subgroup_estimate_se
1,1,False,1,0.006369198977629713,0.010050516739926938
1,1,False,3,0.007077705516921096,0.01154027621122669
1,1,True,1,0.006214585481841432,0.00995867114318921
1,1,True,3,0.006917754169137182,0.011233036680391247
1,2,False,1,0.010685689869314653,0.01725130393020273
1,2,False,3,0.012554996674018028,0.01883618645196896
1,2,True,1,0.010538982836650182,0.01682119782690879
1,2,True,3,0.012708190905090868,0.01852553639766442
1,3,False,1,0.008478937007011663,0.024817055164631778
1,3,False,3,0.010227488939666404,0.024965737813079755
1,3,True,1,0.008315025473718601,0.024645895480425537
1,3,True,3,0.010260207849596137,0.02614088827986026
1,4,False,1,0.008714794376744769,0.027216742790281512
1,4,False,3,0.010235328839867483,0.026339877266502748
1,4,True,1,0.008552466854837187,0.026580059692583598
1,4,True,3,0.00947775345303033,0.024985411691561217
1,9,False,1,0.008295171407283473,0.013715450206292785
1,9,False,3,0.009997711108709896,0.017853712129672676
1,9,True,1,0.008131654643861855,0.013682703992904256
1,9,True,3,0.009577080708697842,0.01682692247592107
2,1,False,1,0.005994821990605994,0.009801711848498934
2,1,False,3,0.006691847566634632,0.011263805469573975
2,1,True,1,0.005843737462538092,0.009732441482714524
2,1,True,3,0.0065330823284427035,0.010974564110723457
2,2,False,1,0.010337615291153556,0.017288025064239806
2,2,False,3,0.011692770089953035,0.017516845080977995
2,2,True,1,0.010186470422044128,0.016728636364348445
2,2,True,3,0.011782567161585548,0.019009704928033617
2,3,False,1,0.00808657802171794,0.025440329853186647
2,3,False,3,0.008813993422569203,0.02358554257135681
2,3,True,1,0.007921792847385534,0.024818279185027887
2,3,True,3,0.009005509517742531,0.024284726389871298
2,4,False,1,0.0083260193926267545,0.02608800722071697
2,4,False,3,0.009408253376600395,0.031258006553014105
2,4,True,1,0.008162215368284802,0.025382435871108267
2,4,True,3,0.00914297994129231,0.02883259288070963
2,9,False,1,0.00790380688983575,0.01348877095434577
2,9,False,3,0.00920404145691749,0.01823651436814682
2,9,True,1,0.007739425053313523,0.01365350911074616
2,9,True,3,0.008783998508834974,0.015935592044129254
3,1,False,1,0.006036746807500237,0.010190342772966628
3,1,False,3,0.0067344555745934695,0.012072056216151188
3,1,True,1,0.005885246261212157,0.010070716503218391
3,1,True,3,0.00657667251157595,0.010914017205152332
3,2,False,1,0.010371555409592127,0.01709613686383173
3,2,False,3,0.011967885671456683,0.02063182396137648
3,2,True,1,0.01022122549965246,0.01667167652349954
3,2,True,3,0.011816356738228853,0.02046463784204615
3,3,False,1,0.00812776434849638,0.029506503686757474
3,3,False,3,0.00903224534198082,0.0316124200743374
3,3,True,1,0.007963298351874213,0.0289012289125053
3,3,True,3,0.008691348524553298,0.032197774800159895
3,4,False,1,0.008368261605323274,0.02697478817620201
3,4,False,3,0.00938302126060568,0.0362582202725592
3,4,True,1,0.008204567472779837,0.0264794792497715
3,4,True,3,0.009313847579197343,0.03488426963005906
3,9,False,1,0.007946251184936042,0.013351382925845862
3,9,False,3,0.008672497383462327,0.01787137412307222
3,9,True,1,0.007782375220553504,0.013331313847258811
3,9,True,3,0.008853987857515016,0.016404600059313892
