RESPID,PHTYPE,top_household_concern,registered_vote,likely_to_vote,approve_trump,approve_biden,optimistic,elec_enthusiasm,party,party_unaffiliated,political_leaning,education,age,age_bin,latino,race,gender,state,FINALWGT,vote_choice_recoded,party_recoded,age_recoded,race_recoded,male,education_recoded,region,propensity
1013,2,20.0,True,1.0,True,False,True,1.0,1,,4,9,99,3.0,False,1,2,4,0.929315277100002,1,1.0,3,1,False,3,4,0.4017733184599421
1014,2,3.0,True,1.0,False,False,False,2.0,1,,3,6,30,,False,1,2,8,1.52879000988,0,1.0,1,1,False,3,4,0.3689259300784175
1015,1,20.0,True,1.0,False,True,True,1.0,2,,1,8,68,,False,1,1,4,0.474928131975,0,2.0,3,1,True,3,4,0.4940945771976026
1019,1,2.0,True,1.0,True,False,True,3.0,1,,2,4,82,,False,1,1,49,1.10858093528,1,1.0,3,1,True,3,4,0.4940945771976026
1022,2,15.0,True,1.0,False,True,False,1.0,2,,1,5,29,,True,4,2,4,3.10488741945,0,2.0,1,4,False,3,4,0.3176068230824714
1026,1,17.0,True,1.0,True,False,True,1.0,1,,4,7,73,,False,9,1,4,0.5222383054,1,1.0,3,9,True,3,4,0.55438178108617
1030,2,30.0,True,1.0,True,False,True,1.0,3,1.0,3,6,29,,False,1,1,16,1.337383637,1,3.0,1,1,True,3,4,0.4589593559582667
1031,2,18.0,True,1.0,True,False,False,1.0,4,1.0,4,3,39,,False,1,1,8,1.55700988,1,1.0,2,1,True,1,4,0.6490764245733576
1034,1,10.0,True,1.0,False,False,True,1.0,1,,4,5,51,,False,1,1,53,0.8989372175,1,1.0,2,1,True,3,4,0.5017550319222035
1038,1,20.0,True,1.0,False,False,False,1.0,4,1.0,3,3,67,,False,1,1,2,1.225708535,1,1.0,3,1,True,1,4,0.6383140764053872
1040,2,30.0,True,1.0,False,False,True,3.0,4,1.0,3,6,51,,False,9,1,41,1.054974356,1,1.0,2,9,True,3,4,0.5615960989441215
1041,1,1.0,True,1.0,False,False,True,3.0,2,,3,7,66,,False,2,2,6,0.583759587725002,0,2.0,3,2,False,3,4,0.0768634545783466
1045,1,20.0,True,1.0,False,False,False,9.0,3,2.0,1,6,36,,False,1,1,6,0.917282875,0,3.0,2,1,True,3,4,0.5017550319222035
1046,1,17.0,True,1.0,True,False,True,3.0,3,1.0,2,8,70,,False,1,1,6,0.502053397,1,3.0,3,1,True,3,4,0.4940945771976026
1047,2,17.0,True,1.0,False,False,True,1.0,1,,3,6,31,,False,1,1,6,1.4201295395,1,1.0,1,1,True,3,4,0.4589593559582667
1048,1,2.0,True,1.0,False,True,True,1.0,2,,3,6,51,,False,1,1,6,0.940214946875002,0,2.0,2,1,True,3,4,0.5017550319222035
1051,1,17.0,True,1.0,False,False,False,9.0,2,,1,7,75,,False,1,2,6,0.600260176100002,0,2.0,3,1,False,3,4,0.4017733184599421
1055,2,13.0,True,1.0,False,False,True,3.0,1,,2,8,34,,True,1,2,6,1.25008320486,1,1.0,1,4,False,3,4,0.3176068230824714
1059,2,14.0,True,2.0,False,True,True,3.0,2,,3,5,73,,False,1,2,41,1.086402273425,0,2.0,3,1,False,3,4,0.4017733184599421
1060,2,28.0,True,3.0,False,False,False,2.0,4,3.0,2,3,37,,False,1,1,41,1.687086106,1,3.0,2,1,True,1,4,0.6490764245733576
1062,1,20.0,True,1.0,True,False,True,3.0,1,,4,7,83,,False,1,2,6,0.57390729032,1,1.0,3,1,False,3,4,0.4017733184599421
1064,2,1.0,True,1.0,False,False,True,1.0,1,,2,7,33,,True,3,2,6,1.25008320486,1,1.0,1,4,False,3,4,0.3176068230824714
1066,2,20.0,True,1.0,False,False,True,1.0,1,,4,6,53,,False,1,1,6,0.8989372175,1,1.0,2,1,True,3,4,0.5017550319222035
1067,1,20.0,True,1.0,True,False,True,1.0,1,,4,6,64,,False,1,2,6,1.03870656386,1,1.0,3,1,False,3,4,0.4017733184599421
1068,2,20.0,True,1.0,False,True,True,1.0,2,,3,8,38,,False,1,1,6,0.48933838865,0,2.0,2,1,True,3,4,0.5017550319222035
1070,2,20.0,True,1.0,False,False,False,3.0,3,1.0,3,5,49,,False,1,2,41,1.069963692,1,3.0,2,1,False,3,4,0.4092546370180767
1072,1,20.0,True,1.0,False,False,True,1.0,2,,1,3,68,,False,1,2,2,1.4654696584,0,2.0,3,1,False,1,4,0.5489726726016116
1080,2,13.0,True,1.0,False,False,True,3.0,3,1.0,4,7,43,,True,1,1,15,0.927012636,1,3.0,2,4,True,3,4,0.4368002123547066
1082,2,1.0,True,2.0,False,False,False,3.0,4,2.0,3,6,23,,False,1,2,6,1.690314982,0,2.0,1,1,False,3,4,0.3689259300784175
1091,1,30.0,True,1.0,False,False,False,3.0,2,,1,8,78,,False,2,2,6,0.583759587725002,0,2.0,3,2,False,3,4,0.0768634545783466
1092,2,20.0,True,1.0,False,False,True,1.0,4,1.0,2,6,48,,True,1,2,6,2.077635094,1,1.0,2,4,False,3,4,0.3549324737949213
1098,1,1.0,True,2.0,False,False,False,1.0,3,2.0,3,7,65,,False,1,2,15,0.585619684,0,3.0,3,1,False,3,4,0.4017733184599421
1100,2,20.0,True,1.0,False,False,False,2.0,3,1.0,3,6,71,,False,1,1,41,0.908659235,1,3.0,3,1,True,3,4,0.4940945771976026
1104,2,30.0,True,1.0,False,False,True,3.0,3,1.0,3,7,52,,False,3,2,6,1.574639451,0,3.0,2,3,False,3,4,0.2383888487950067
1110,2,20.0,True,1.0,False,False,True,2.0,4,2.0,1,8,43,,False,1,1,6,0.477403306,0,2.0,2,1,True,3,4,0.5017550319222035
1112,2,20.0,True,1.0,True,False,True,1.0,1,,3,5,56,,True,4,2,6,2.01694059798,1,1.0,3,4,False,3,4,0.3483251919970561
1114,2,20.0,True,1.0,False,True,True,1.0,2,,1,8,55,,False,2,2,6,0.583759587725002,0,2.0,3,2,False,3,4,0.0768634545783466
1116,2,3.0,True,1.0,False,False,True,2.0,2,,2,3,36,,True,1,2,6,3.916761265575,0,2.0,2,4,False,1,4,0.4051496639044034
1119,2,1.0,True,2.0,False,True,True,1.0,4,2.0,3,8,30,,False,2,1,34,0.553643733,0,2.0,1,2,True,3,1,0.0983132717059409
1121,2,20.0,True,2.0,False,False,True,3.0,1,,3,4,67,,False,1,1,45,1.00720527236,1,1.0,3,1,True,3,3,0.4940945771976026
1132,2,20.0,True,1.0,True,False,True,3.0,3,3.0,4,6,48,,False,1,1,27,0.79834643,1,3.0,2,1,True,3,2,0.5017550319222035
1138,2,1.0,True,1.0,False,False,True,3.0,3,1.0,2,7,48,,False,1,1,17,0.415502388,1,3.0,2,1,True,3,2,0.5017550319222035
1149,2,20.0,True,1.0,False,False,True,1.0,4,1.0,4,6,43,,False,1,1,1,0.769144591,1,1.0,2,1,True,3,3,0.5017550319222035
1154,2,4.0,True,1.0,False,True,False,1.0,2,,1,7,49,,False,1,2,42,0.576984409475001,0,2.0,2,1,False,3,1,0.4092546370180767
1155,2,1.0,True,2.0,False,False,True,1.0,2,,3,7,28,,False,2,2,36,0.661942108475001,0,2.0,1,2,False,3,1,0.0680827394291932
1163,2,10.0,True,1.0,True,False,True,1.0,2,,1,8,53,,False,2,1,51,0.41,1,2.0,2,2,True,3,3,0.113641149893248
1167,2,20.0,True,1.0,False,True,True,1.0,2,,3,6,54,,False,2,2,51,0.894318276899998,0,2.0,2,2,False,3,3,0.0790572171433126
1173,2,20.0,True,1.0,False,False,False,2.0,1,,3,6,26,,True,1,1,26,2.40002792624,1,1.0,1,4,True,3,2,0.3959243556474406
1181,2,13.0,True,1.0,False,False,False,3.0,1,,4,7,28,,False,1,1,39,0.48035358364,1,1.0,1,1,True,3,2,0.4589593559582667
1183,2,9.0,True,1.0,False,False,True,1.0,2,,1,7,23,,False,1,1,6,0.577259013124998,0,2.0,1,1,True,3,4,0.4589593559582667
1192,2,20.0,True,1.0,False,True,True,1.0,2,,1,7,27,,False,3,1,25,1.650021897525,0,2.0,1,3,True,3,1,0.2661093840543796
1193,2,4.0,True,1.0,False,False,False,3.0,3,2.0,1,8,41,,False,1,1,29,0.415502388,0,3.0,2,1,True,3,2,0.5017550319222035
1203,2,20.0,True,1.0,False,False,True,1.0,1,,4,8,41,,False,1,1,48,0.43178307746,1,1.0,2,1,True,3,3,0.5017550319222035
1207,2,20.0,True,1.0,False,False,False,2.0,3,1.0,3,7,44,,False,1,2,36,0.562911619,0,3.0,2,1,False,3,1,0.4092546370180767
1215,2,20.0,True,2.0,False,True,True,1.0,2,,3,4,47,,False,1,1,37,1.44999270985,0,2.0,2,1,True,3,3,0.5017550319222035
1217,2,15.0,True,3.0,False,False,True,3.0,3,3.0,2,6,31,,False,2,2,13,1.378373266,0,3.0,1,2,False,3,3,0.0680827394291932
1229,2,16.0,True,2.0,False,False,True,3.0,1,,3,3,27,,False,1,1,13,1.97581789972,1,1.0,1,1,True,1,3,0.6232752821548939
1231,2,20.0,True,1.0,True,False,True,1.0,1,,2,7,22,,False,1,2,13,0.5398130668,1,1.0,1,1,False,3,3,0.3689259300784175
1234,1,3.0,True,2.0,False,False,False,2.0,3,1.0,2,3,58,,False,9,2,36,1.662189821,0,3.0,3,9,False,1,1,0.6484443098244922
1246,2,15.0,True,3.0,False,False,False,3.0,1,,3,3,46,,False,1,1,37,1.38633449332,1,1.0,2,1,True,1,3,0.6490764245733576
1249,2,10.0,True,1.0,True,False,True,3.0,1,,4,3,66,,False,1,2,18,1.21945883206,1,1.0,3,1,False,1,2,0.5489726726016116
